name,weight,companyID,price,forbidden_country1,forbidden_country2,forbidden_country3,forbidden_country4,forbidden_country5
Tempsoft,6.58,23,2547,,,,56,
Prodder,19.27,116,5.97,153,,226,,
Pannier,16.98,106,38.34,57,,,,
Otcom,6.45,124,2.16,,210,,,214
Veribet,18.58,105,29.14,99,,7,,
Pannier,10.24,77,141,,121,139,,
Viva,2.09,53,94,191,,,,
Tres-Zap,19.33,137,7.25,,26,,,214
Mat Lam Tam,7.53,155,13.68,52,,,,
Trippledex,3.83,145,8.24,,239,,,
Zathin,10.06,161,12.63,77,,,,
Overhold,11.85,164,14.42,118,,,179,
Quo Lux,6.67,34,1034,75,,,,214
Zamit,0.71,136,24.67,208,,,,
Stim,18.64,63,102,,,,,
Y-find,17.36,108,19.71,158,,217,,
Vagram,8.39,149,0.7,182,,,127,214
Viva,7.73,92,290,,,,,
Toughjoyfax,14.45,105,13.03,,,,63,
Y-Solowarm,7.85,131,5.43,,,23,97,214
Namfix,8.06,84,156,185,,,,
Quo Lux,11.8,63,134,228,,226,,
Alpha,0.39,3,3040,,,,,
Stronghold,17.95,59,120,,,,,214
Fintone,6.38,153,29.36,230,239,,,
Solarbreeze,8.46,100,182,162,219,,,
Rank,11.72,19,3148,,,,,
Cardify,13.72,114,12.9,,43,188,,
Temp,8.92,154,21.43,,,,,
Bytecard,1.05,122,30.49,14,246,210,,
Redhold,11.38,166,30.32,,191,,,
It,3.46,121,12.88,,201,176,155,
Y-Solowarm,4.8,137,31.84,,42,,14,
Span,13.62,116,17.49,,140,,,
Ronstring,18.41,109,4.23,213,,,,
Subin,15.08,115,4.25,,,,,
Andalax,0.5,99,208,,,108,,
Stim,1.8,133,8.12,,,,123,
Vagram,0.69,127,10.87,69,118,132,44,
Sub-Ex,0.35,150,13.08,63,,,173,
Bamity,15.44,18,1359,123,,229,,214
Y-Solowarm,16.9,157,1.18,,36,248,,
Tampflex,17.92,50,257,,,,,
It,13.33,126,20.0,,,,,
Andalax,19.85,121,18.51,116,,219,216,
Toughjoyfax,0.35,106,4.03,166,,,,
Zathin,19.1,7,3407,,73,,115,
Gembucket,17.24,18,1637,164,,,78,
Overhold,3.46,48,3225,,,,,
Transcof,10.32,77,305,244,,156,99,214
Tres-Zap,14.78,65,349,170,162,179,,
Opela,5.15,156,21.46,151,220,3,,
Prodder,6.04,22,1921,101,,219,,214
Matsoft,11.31,118,29.47,215,,,,
It,19.13,33,2488,,,,,
Otcom,4.67,34,672,,245,84,153,
Tres-Zap,4.24,5,2904,48,,238,225,
Zaam-Dox,18.89,28,431,,,,,
Flexidy,5.26,148,1.3,,,,,
Cardify,8.89,141,9.62,102,,,,
Greenlam,1.86,32,3760,84,207,,,
Lotstring,9.52,6,1068,35,149,,,
It,14.16,30,978,,236,,,
Alphazap,4.73,19,630,,,80,,
Ronstring,16.9,115,10.95,33,,,107,
Tres-Zap,7.78,165,14.88,211,,,,
Sonair,10.3,127,28.04,,,145,,
Pannier,16.32,92,47,77,,,,
Wrapsafe,14.75,64,192,,,,,214
Cookley,16.12,51,52,151,208,,,
Fixflex,17.51,53,252,,,,,
Ventosanzap,19.06,56,202,75,,216,,
Veribet,17.57,99,195,156,220,,,
Ronstring,10.37,84,110,209,101,,,
Cookley,4.26,140,27.27,205,2,,238,
Voltsillam,15.03,156,38.39,,,,,
Alpha,15.26,26,2502,13,,,,
Voltsillam,19.98,38,1751,,31,,,
Ronstring,14.62,51,349,,35,159,,214
Zamit,14.36,70,69,,,,,
Stringtough,2.54,83,319,220,4,18,,
Cookley,3.0,17,2406,65,,,,
Bigtax,0.44,90,129,,,,,
Opela,8.55,116,23.82,43,,220,,
Solarbreeze,5.58,79,202,,,,,
Bitwolf,3.85,143,14.13,41,,,,
Domainer,18.78,163,22.1,103,,111,93,214
Konklab,7.45,4,1911,129,,,,
Tin,19.4,81,294,,171,,,
Solarbreeze,2.54,63,377,30,222,,194,
Transcof,15.7,52,340,,,250,135,
Ventosanzap,13.95,75,271,165,,,211,
Opela,9.51,113,39.97,201,122,168,,
Keylex,11.15,146,30.53,,,,,
Zaam-Dox,1.0,15,2161,,82,,,214
Zoolab,15.66,128,4.81,,,,,
Wrapsafe,19.33,136,10.36,166,183,,,
Viva,1.72,14,3682,,,,129,
Sub-Ex,2.88,48,1539,,168,226,,
Domainer,12.46,157,38.06,102,,100,,
Viva,7.23,164,8.51,,,,,214
Zamit,13.52,46,830,,,,,214
Rank,2.9,119,3.2,,169,,,
Quo Lux,5.1,112,11.29,,,,,
Regrant,0.1,148,32.73,182,153,,,
Stringtough,16.45,36,3172,,,80,,
Biodex,19.82,4,2541,,132,,,
Wrapsafe,2.78,147,17.08,,,,,
Alpha,2.39,39,3372,,,228,,
Fix San,6.4,39,1930,,7,,,
Tempsoft,13.5,109,10.79,,86,,,
Tresom,7.53,25,1216,225,,,,
Konklab,12.54,77,9,126,,,,
Overhold,16.64,133,13.97,,,,,
Viva,14.87,35,2377,113,,,,214
Quo Lux,5.44,117,32.91,123,11,234,,
Veribet,9.7,53,132,,66,,,
Zoolab,3.33,135,37.86,162,,,,
Zaam-Dox,2.19,56,183,244,35,,,
Sub-Ex,19.84,51,233,95,,121,,
Zamit,3.2,51,315,,92,,69,214
Matsoft,7.22,66,53,103,11,168,,
Bytecard,8.78,107,31.44,,111,163,,
Sonair,3.63,30,2885,,65,,,
Zontrax,16.65,140,0.37,,,235,,214
Daltfresh,13.9,155,6.28,54,22,,153,
Pannier,19.03,88,31,,183,,124,
Sonair,11.64,127,15.24,230,,,,
Sub-Ex,6.15,31,1799,42,87,5,,
Pannier,3.15,111,26.32,85,56,,,
Stringtough,2.7,8,2913,,,,,
Stim,4.51,46,1977,32,10,74,,
Overhold,8.49,88,245,,,,,
Treeflex,12.33,142,12.4,,,,115,
Cookley,10.62,165,17.09,117,212,70,84,214
Redhold,10.07,85,363,184,13,,,
Namfix,13.78,158,11.93,92,,,,
Alphazap,15.29,19,3045,1,,86,240,
Voyatouch,1.46,68,141,,194,157,,
Asoka,1.65,68,237,,,,,
Stringtough,14.13,3,2578,,,,,
Opela,8.6,89,14,,,,27,
Zamit,1.14,165,3.74,,174,,,
Tempsoft,2.12,76,169,141,,,,
Bitchip,14.99,12,2544,,128,102,80,
Ronstring,0.38,101,3.95,,,173,,
Gembucket,1.95,108,5.4,,59,,,
Toughjoyfax,2.26,59,137,,102,,,
Veribet,7.81,36,2056,65,166,,,
Y-Solowarm,15.2,86,247,,86,,,
Latlux,10.66,57,199,65,188,,,
Alpha,4.72,66,167,,,,,214
Wrapsafe,7.13,148,34.96,93,170,130,185,
Prodder,5.89,98,227,247,163,,,
Keylex,18.53,145,12.79,,,,,
Regrant,14.55,161,27.95,164,221,67,,
Span,3.97,3,817,64,,,,
Pannier,7.89,114,38.41,62,,,,
Latlux,6.99,79,371,,,,,
Tampflex,8.72,135,19.43,158,,238,,
Bitchip,2.27,69,347,153,30,,,
Subin,9.51,100,85,143,228,102,,
Redhold,2.69,140,39.41,,,,,214
Keylex,18.48,107,33.03,79,,,,
Temp,16.26,82,5,,116,,,
Latlux,18.57,7,1111,,,,,
Konklux,6.95,19,2282,69,,234,,
Zathin,1.54,140,7.71,51,191,85,,
Sonair,8.94,90,44,,83,205,,
Alphazap,14.9,109,28.79,,,143,156,
Span,4.57,163,32.36,132,,,137,
Trippledex,7.69,95,13,,195,,,
Tresom,7.36,107,11.19,245,,127,146,
Prodder,16.38,111,28.85,,,,,
Hatity,6.43,47,1788,,204,51,,
Duobam,4.74,162,3.02,26,,,,
Treeflex,17.67,61,296,56,,,,214
Zamit,16.53,57,181,85,,46,,
Tempsoft,1.11,107,3.23,,185,,,
Y-find,19.1,94,179,,59,,,
Otcom,14.73,61,262,,28,,,
Wrapsafe,15.89,65,233,141,,59,,
Lotstring,5.5,91,41,126,243,,204,214
Vagram,5.39,33,1837,,203,,,
Tempsoft,15.02,115,22.63,22,,146,,
Hatity,7.63,55,255,246,,,,
Treeflex,6.58,44,1719,63,,,93,
Solarbreeze,0.74,81,242,190,217,,,
Cookley,6.09,46,635,152,,,199,
Daltfresh,6.37,135,14.89,99,173,,,
Prodder,17.02,130,25.04,113,,,,
Tempsoft,5.98,42,1325,,233,63,,
Veribet,14.78,53,268,32,,12,,
Sub-Ex,16.8,13,1526,8,,109,,
Wrapsafe,11.21,75,76,233,229,133,,214
Voyatouch,1.3,131,5.64,,244,,,
Fintone,13.71,4,1073,152,,,77,
Home Ing,15.65,107,9.56,73,208,,,
Treeflex,14.19,74,211,158,,,,
Keylex,13.15,148,6.36,,180,,98,
Fix San,3.13,34,648,,151,,,
Lotstring,10.65,77,378,,,204,,
Aerified,13.56,95,8,156,,,,
Transcof,10.46,50,60,,50,,120,
Tres-Zap,2.02,116,24.73,58,230,,246,
Gembucket,0.48,70,243,87,,229,,
Y-find,11.38,25,1716,171,,69,6,
Keylex,17.31,53,92,52,24,,,
Bigtax,17.28,6,3477,169,241,,,
Biodex,9.64,36,1463,11,,190,,
Bytecard,11.62,128,39.53,207,,,,
Zoolab,18.39,17,2577,,,,,
Aerified,17.95,16,3292,,,,144,
Overhold,8.78,148,27.83,,,,,
Aerified,17.43,35,3396,,,,,
Y-Solowarm,10.89,12,1412,,,13,218,
Bamity,5.98,47,1831,227,33,244,113,
Sonair,14.4,130,4.28,231,,,,
Konklux,17.93,154,31.42,153,,,,
Bytecard,2.67,137,12.73,,,,,
Zamit,9.89,129,36.59,,206,82,194,
Flexidy,1.9,74,38,58,120,9,,
Trippledex,0.7,77,330,132,244,,,214
Y-find,7.69,1,1474,,,238,,
Y-find,17.53,24,3684,,,,,
Cookley,18.92,105,16.53,,71,,,
Temp,13.22,69,84,117,,107,,214
Sonsing,14.35,83,168,,,170,,
Redhold,13.51,61,32,,,180,,
Solarbreeze,14.69,77,189,51,247,,,
Andalax,1.51,131,26.12,,,,,
Bitwolf,5.25,166,14.4,140,,43,,
Flowdesk,5.47,24,3621,96,,,201,
Zamit,19.57,150,17.63,,,,,
Kanlam,18.41,128,14.27,194,135,25,,
Viva,15.17,17,2686,,,218,,
Voltsillam,10.52,54,396,65,65,,,
Asoka,2.97,84,232,,,,,
Bitchip,19.93,48,3929,229,,,,
Treeflex,2.83,23,1710,,,,,
Tresom,3.05,141,14.63,,231,38,,
Bytecard,12.02,30,2449,132,232,,206,214
Konklux,1.46,124,19.93,,,230,204,
Matsoft,11.45,157,36.35,,,33,,
Tampflex,12.92,81,66,195,,190,,
Zamit,9.14,8,3343,,11,,,214
Treeflex,7.48,51,220,14,,199,,
Tres-Zap,10.01,37,3949,143,62,,,
Quo Lux,4.19,47,3763,122,,,,214
Fintone,14.04,162,11.14,,,82,,214
Aerified,3.37,127,11.97,,,,,
Sonair,18.86,151,25.79,159,,,,
Viva,5.17,37,1194,65,,154,,
Bamity,13.1,21,2473,,5,115,,
Latlux,8.49,120,8.21,111,,207,,
Stringtough,15.81,157,20.87,,127,,,
Sub-Ex,7.04,77,195,243,,,,
Cardguard,5.3,66,82,64,,,,
Matsoft,4.21,8,3880,130,,,,
Stringtough,12.03,156,21.96,50,,108,,
Span,0.31,18,2752,94,68,,25,
Duobam,3.6,105,25.84,,98,,76,
Bitwolf,14.03,135,24.67,18,85,,,
Bitchip,11.66,116,22.02,,,,239,
Pannier,19.88,119,21.17,,57,,24,214
Opela,14.98,22,3469,,77,86,,
Mat Lam Tam,1.76,51,59,241,,,,
Hatity,19.38,32,1346,,146,,,
Stronghold,11.23,78,93,,,19,20,
Keylex,6.37,155,39.66,,33,12,,
Pannier,17.12,134,38.6,,186,,,
Solarbreeze,11.8,163,11.18,164,,,,
Zathin,18.69,104,13.7,15,,,17,
Daltfresh,18.49,42,2244,208,,,,
Aerified,16.05,45,2720,226,,94,,
Job,3.23,108,19.56,,19,,,
Trippledex,14.18,33,768,,222,231,,
Namfix,13.24,122,8.02,,250,,,
Mat Lam Tam,0.44,75,205,56,,,,
Tresom,1.93,72,156,,26,,185,
Temp,5.38,155,36.55,37,,,,
Stronghold,19.09,72,310,233,,,,
Bigtax,4.87,73,306,,158,,,
Ronstring,17.1,2,3781,,82,,,
Pannier,2.16,51,206,170,,,,
Tresom,9.45,72,42,18,,65,170,
Hatity,19.74,146,20.98,17,,,,214
Sonsing,5.51,51,311,,,,,
Flowdesk,3.95,89,138,183,,,,
Holdlamis,4.39,105,3.08,34,,204,,
Bytecard,19.44,142,15.36,,182,180,,
Lotlux,10.34,12,505,167,34,171,,
Lotlux,15.12,95,274,,,,,
Regrant,8.51,24,2400,54,,230,,
Cardify,17.28,162,3.03,61,250,227,,
Keylex,18.04,169,38.39,193,,,,
Otcom,2.54,5,2167,75,110,,,
Bitchip,14.11,17,3412,93,,,,
Latlux,0.5,39,2159,60,120,,,
Tresom,15.18,16,3317,,,198,,
Voltsillam,17.57,19,1150,,,,,
Konklab,3.61,135,27.74,,70,,,
Treeflex,11.93,76,244,111,,,170,
Tin,6.6,92,44,154,6,,13,
Sub-Ex,10.89,76,20,74,154,58,175,
Gembucket,17.65,155,1.64,82,,76,,
Flexidy,18.05,130,20.6,236,,,,
Zoolab,15.98,158,32.38,33,163,,,
Quo Lux,11.54,6,1616,99,,,180,
Treeflex,19.02,127,17.75,19,,,,
Viva,1.45,133,17.36,108,63,,,
Bitchip,14.78,121,31.72,228,95,44,,
Vagram,1.24,88,129,44,,,,
Ventosanzap,12.29,58,148,,,,,
Quo Lux,6.39,113,15.37,208,14,126,,
Viva,8.43,56,320,138,,,38,
Tempsoft,16.38,133,9.35,,,,,
Ventosanzap,11.64,161,34.03,237,,,,
Domainer,16.99,80,377,,126,,,
Duobam,16.09,4,1197,,,217,218,
Zaam-Dox,9.71,75,272,,157,,195,
Namfix,5.56,120,3.1,160,90,,,
Zathin,10.92,80,45,47,,,64,
Rank,4.26,26,2005,,,,,
Domainer,10.39,148,34.07,,,,,
Tin,0.44,68,257,224,,,,
Trippledex,8.48,140,28.02,,83,,,
Opela,16.82,100,395,133,72,,,
Regrant,15.6,90,193,,,,,
Konklab,16.49,21,3908,221,186,,,
Fintone,19.86,103,15.54,165,148,120,,
Fintone,1.43,113,11.47,63,92,53,10,
Tin,19.29,86,10,36,,,,
Greenlam,2.19,161,25.5,,,,,
Zathin,11.05,25,455,,,,,
Lotstring,3.8,124,25.02,,,117,189,
Home Ing,6.03,46,2451,187,142,,,
Lotlux,7.16,97,368,,,,,
Keylex,15.02,28,1490,64,187,242,,
Sonair,9.51,85,172,176,71,,,
Bitchip,10.81,36,3780,171,,,,214
Redhold,3.33,90,219,21,105,,,
Pannier,7.44,156,22.24,121,,,,
Duobam,19.72,63,122,62,,238,,
Zoolab,13.63,156,20.76,,,,112,
Stronghold,12.85,138,10.73,204,155,,,
Sonsing,9.75,63,307,219,90,113,,
Bitchip,17.03,36,2851,207,,,,214
Wrapsafe,14.66,144,16.74,72,,,,
Toughjoyfax,18.96,104,22.94,,,92,74,
Greenlam,15.35,77,176,,16,,,214
Bitchip,10.88,121,14.68,54,,,,
Gembucket,1.17,105,1.33,125,,,,
Sonsing,14.93,116,2.92,,,,,214
Flowdesk,8.02,17,3170,248,,177,,
Transcof,3.67,30,2633,,193,,,
Duobam,16.73,108,1.86,192,,,,
Aerified,0.79,104,2.5,56,193,35,103,
Kanlam,17.83,136,22.75,20,,,,
Voyatouch,1.16,11,2112,,43,,,
Gembucket,9.8,63,169,,,,,
Regrant,1.79,52,154,,,,144,
Zontrax,12.13,139,20.54,221,218,,,
Tres-Zap,6.52,27,1905,,62,,,
Bytecard,1.99,85,277,,172,,,
Lotlux,1.7,42,3511,163,128,,,214
Gembucket,5.86,13,1732,,,,,
Y-Solowarm,13.52,100,186,171,160,226,,
Temp,13.7,127,8.86,233,126,147,,
Temp,10.37,163,5.54,39,,,,
Konklab,18.85,120,12.58,,145,57,,
Alphazap,14.71,31,3597,,,,,
Domainer,13.95,108,17.67,,122,,216,
Lotlux,14.54,30,2593,,181,184,,
Opela,19.21,40,1441,107,20,,,
Wrapsafe,16.75,155,32.01,,,,,214
Stim,14.16,165,24.59,28,,,,
Hatity,0.56,127,5.64,,128,,,
Asoka,6.64,151,17.34,216,,,,
Bytecard,12.16,64,146,,,,,
Cardify,17.92,107,11.75,9,100,,,
Konklux,3.09,2,667,190,,,173,214
Fixflex,1.53,142,8.4,,28,,,
Sub-Ex,15.56,163,5.93,65,192,240,,
Cardguard,2.17,127,37.61,,202,108,,
Keylex,11.51,130,36.99,,,,,214
Ronstring,13.0,79,24,125,,,,
Hatity,2.21,134,10.88,,,,,
Alpha,12.3,12,3623,,,99,,214
Bytecard,1.6,68,318,81,72,52,243,
Greenlam,10.36,60,239,82,,,,
Quo Lux,17.64,41,611,,236,95,,
Gembucket,3.31,35,1549,215,,,,
Mat Lam Tam,12.89,85,183,157,,239,,
Cookley,3.95,41,1181,,73,,,
Y-find,19.32,43,3735,,,,,214
Opela,12.64,115,3.14,197,,,,
Voyatouch,17.58,153,1.09,82,152,,,
Alpha,2.01,143,12.65,,,26,,
Ventosanzap,9.97,10,557,,,236,,
Bamity,18.55,111,6.7,66,,,,
Zoolab,12.06,80,221,,,,,
Voltsillam,5.31,111,4.83,35,40,,215,
Sonair,4.88,165,33.28,,38,,229,
Cardguard,2.13,157,10.66,,132,,,
Tres-Zap,10.19,125,15.02,,,,,
Zamit,13.99,33,2105,,,55,147,
Span,6.59,23,2632,,,,,
Solarbreeze,8.12,83,374,,,64,178,
Tampflex,5.1,129,16.17,,34,,,
Keylex,13.24,86,102,124,,12,,
Quo Lux,0.49,138,6.18,,98,106,,
Ventosanzap,5.21,90,95,28,,,,
Vagram,5.92,8,2990,,61,,,
Namfix,11.0,89,124,231,,,,
Stringtough,3.46,97,85,89,,,,
Alphazap,6.37,32,2264,141,51,,,214
Bigtax,15.44,100,260,68,,,227,
Duobam,4.57,169,39.31,,186,,,
Latlux,15.49,102,8.15,64,,,8,
Tin,4.61,38,2848,83,125,,,
Zathin,15.48,34,1982,163,,,,
Tres-Zap,2.85,149,6.39,238,,,192,
Flexidy,3.93,24,1472,,123,,,
Aerified,19.82,76,85,121,239,,132,
Voltsillam,16.77,117,16.46,,,,,
Duobam,19.01,73,275,,,,,
Ventosanzap,5.92,38,658,106,,,,
Bytecard,2.06,17,1313,117,,,,214
Bigtax,15.9,152,17.64,,,,96,
Stringtough,2.45,13,2698,,,243,,
Daltfresh,19.1,158,22.24,,,39,142,
Fixflex,6.98,107,6.76,142,,223,97,214
Bigtax,12.45,15,1422,92,,,,
Quo Lux,8.46,75,27,,3,,,
Toughjoyfax,11.2,108,7.29,,,,,
Sonair,1.04,21,1386,,,108,,
Trippledex,1.67,94,12,,,,,
Konklab,16.83,60,279,,159,215,,214
Tres-Zap,8.79,89,277,,80,,64,
Alphazap,10.34,39,3421,,,,,
Y-find,1.33,168,7.31,,,,,
Keylex,9.39,80,200,,,,,
Zamit,4.79,102,37.96,,,,12,
Flowdesk,18.6,137,4.56,,,,97,
It,14.94,109,14.68,209,,,,
Vagram,10.39,57,69,1,,189,,
Y-Solowarm,13.7,65,280,189,4,,,
Zathin,15.05,38,2632,123,114,,247,
Keylex,10.91,140,8.02,,228,3,,
Job,9.91,26,1039,,,,,
Transcof,16.98,88,377,,,219,,
Otcom,17.49,12,3213,33,,,,
Toughjoyfax,3.4,160,16.72,63,,,,
Solarbreeze,11.53,103,9.78,,,,,
Konklab,7.73,6,823,23,159,,74,
Rank,3.89,94,96,,,,,
Bitwolf,0.93,167,24.03,93,,,,
Overhold,0.9,163,22.98,,145,,,
Stringtough,18.04,144,29.3,,,,,
Temp,1.55,133,30.4,,227,168,,
Kanlam,16.14,33,3333,111,,,,
Zaam-Dox,17.03,121,15.66,,,182,210,
Temp,10.54,8,1508,,,193,,
Viva,10.3,114,30.99,,213,,,
Alpha,2.78,86,2,207,,,,214
Zoolab,8.88,168,14.59,,51,177,,
Aerified,6.69,14,1192,,113,,,
Veribet,5.68,81,277,,,,,
Treeflex,12.15,94,267,243,26,,,
Ronstring,1.05,63,180,146,,,,
Aerified,11.21,121,1.46,,159,55,57,
Zoolab,9.55,11,2747,,208,114,,
Latlux,4.77,35,2077,,,54,,
Y-find,9.76,121,23.13,167,,,,
Tempsoft,17.55,86,348,116,,,,214
Ventosanzap,16.72,122,6.57,,,,,
Viva,18.75,130,37.03,,131,110,,
Prodder,4.05,137,11.31,,,,,
Tin,3.7,7,1910,50,,,,
Treeflex,10.76,37,1226,,,190,,
Treeflex,15.96,2,2052,,,,,
Bitwolf,1.24,157,39.35,143,,,186,
Treeflex,4.89,29,925,175,,,,
Gembucket,7.94,28,3140,,28,,,
Bitchip,5.93,13,1100,,,,,
Flexidy,12.66,89,193,,,,,214
Cardify,1.43,22,1683,,196,,24,
Home Ing,5.82,149,3.04,91,129,,,
Sonsing,2.68,156,21.78,145,,,,
Cardify,1.05,14,2846,,76,129,,214
Zathin,7.4,26,3929,118,27,,168,214
Gembucket,9.69,110,28.23,16,37,191,,
Opela,8.91,17,3866,236,244,,,
Span,4.65,22,1046,,135,,,
Zathin,10.19,44,916,,,,,
Biodex,18.53,76,213,50,101,,,214
Tampflex,7.9,102,14.95,,50,,131,
Keylex,13.92,18,819,29,12,,245,
Subin,17.09,55,139,183,,,,
Aerified,8.49,39,666,,,,,214
Alpha,10.48,99,221,,,,164,
Wrapsafe,13.22,18,3739,,201,194,,
Flexidy,6.27,40,1885,85,,242,,
Asoka,14.26,16,773,17,236,,,
It,18.14,37,1975,190,,,,
Tin,11.01,27,1762,136,,6,,
Transcof,12.47,133,8.81,,,,,
Lotlux,19.15,137,15.51,,,,150,
Kanlam,13.35,28,3875,212,,185,,
Tresom,2.92,85,352,,186,,,
Ventosanzap,17.37,77,83,102,136,,,
Zathin,18.63,159,32.47,,83,,,
Cardguard,14.78,117,7.97,,,,109,
Konklux,6.85,81,320,20,,147,,214
Fintone,16.58,81,330,,243,,,
Regrant,9.7,2,3085,,241,,,
Zaam-Dox,7.22,54,123,,222,,,
Rank,16.98,23,3855,,200,98,192,
Zontrax,19.67,2,2353,242,,,132,
Biodex,6.59,118,28.46,,,135,,
Lotlux,2.87,14,3543,150,,,,
Sonsing,10.03,32,3682,,97,185,,
Alphazap,10.78,90,278,38,194,21,,
Fix San,8.95,62,399,56,,,,
Daltfresh,11.25,125,23.66,43,166,,,
Prodder,10.64,39,1735,41,,,,
Voyatouch,1.41,63,376,158,,,,214
Zathin,1.71,75,104,,,,57,
Vagram,7.08,56,135,,,,,
Kanlam,11.91,69,223,136,61,,,
Bigtax,17.11,131,15.56,,91,,111,
Span,14.1,148,9.08,,189,129,,
Namfix,13.88,104,27.65,126,76,,27,
Asoka,1.93,136,17.72,,,,,
Daltfresh,14.34,50,169,,116,184,,
Wrapsafe,13.05,84,94,,,,,214
It,10.98,62,194,,132,,,
Cardify,2.87,5,487,,109,,137,
Tampflex,9.97,166,15.65,16,210,,241,
Otcom,17.95,115,1.61,,,,,214
Flexidy,11.72,17,3304,,237,,70,
Alphazap,11.91,46,1521,176,,194,,
Zamit,4.9,138,35.82,,,,,
Bitwolf,17.35,62,279,227,,,,
Matsoft,5.36,63,152,,,58,38,214
Tampflex,13.54,101,37.76,228,,7,,
Bytecard,5.75,138,26.75,219,,170,,
Zathin,4.38,57,69,183,,,,
Biodex,9.4,115,14.35,,,,,
Job,5.55,32,2004,198,191,,,
Voyatouch,14.5,161,16.09,,36,,,214
Keylex,2.33,123,33.97,,80,235,,
Alpha,19.56,98,138,,,,,
Flowdesk,12.77,56,128,249,180,,,
Zamit,6.5,168,14.33,16,,,,
Span,7.44,52,372,,131,,126,
Mat Lam Tam,18.35,82,91,202,,,,
Domainer,1.47,28,1778,,9,80,,
Fix San,1.47,161,23.11,,,,,
Fintone,8.12,93,279,207,,,,
Trippledex,3.19,92,106,,40,,,
Konklux,11.36,92,26,,,,,
Konklux,7.01,68,27,147,4,,,
Ventosanzap,0.97,83,345,,81,,,
Tres-Zap,15.18,106,5.71,,204,,,
Home Ing,0.21,24,1738,,,,,
It,16.68,72,212,,110,,,
Flowdesk,8.69,30,3562,241,,,,
Aerified,13.76,113,22.19,183,,,,
Toughjoyfax,6.71,8,1403,,,,,
Ronstring,14.3,66,190,249,81,,,214
Cardify,15.78,47,2163,,,,217,
Asoka,6.24,86,65,,135,,,
Lotlux,14.55,5,2682,77,,,84,
Tempsoft,12.13,102,4.29,,,,,
Treeflex,13.0,144,24.09,6,209,69,,214
Cookley,13.07,60,289,23,,,,
Gembucket,10.61,144,29.77,,,,,
Stim,0.96,92,235,,,136,,
Lotstring,18.39,128,20.28,,,232,,
Bamity,4.26,42,483,,,208,,214
Bytecard,6.92,130,4.6,,,145,,214
Veribet,15.64,151,33.71,15,118,76,,
Bytecard,9.24,154,10.91,230,,178,,
Keylex,5.84,46,475,219,,110,,
Cardguard,4.84,83,6,169,242,,,
Keylex,8.99,5,791,,237,2,,214
Tres-Zap,13.38,163,14.12,,,152,56,
Toughjoyfax,2.81,121,6.08,,212,,,214
Voltsillam,7.52,138,8.43,42,,200,127,
Asoka,6.77,142,23.98,,168,,,214
Veribet,0.14,83,267,,221,,,
Sonsing,18.67,156,28.97,,,,,
Cardguard,7.78,15,2363,,109,,,
Bitwolf,12.04,117,8.18,19,,,,
Matsoft,17.22,135,10.47,,,,,
Tempsoft,8.26,72,139,229,,,,
Ronstring,7.1,134,36.98,218,,147,,
Bitwolf,0.9,57,246,64,,,,
Matsoft,3.79,81,297,,,,,
Bamity,3.95,133,3.63,,,62,50,
Bamity,6.47,121,7.66,198,,,,214
Regrant,7.01,58,213,,3,153,,
Bigtax,14.9,161,1.75,,,162,,
Stringtough,19.77,114,35.73,18,,213,,
Mat Lam Tam,19.24,41,2691,82,16,,,
