starting_year,retirement_year,airlineID,rent_airlineID
1955,1995,16000,4296
1974,1985,16953,
2008,2026,19297,
2020,2051,18279,
1973,2021,21091,24
2021,2052,18181,2009
1966,1984,6648,
2015,2055,6934,
1977,1998,12423,
2002,2015,546,
1959,1969,15574,3320
1968,2004,16777,
1971,1994,20054,
1968,1982,1891,1355
1992,2023,20226,
1976,1992,20865,
1994,2040,5316,
1954,1956,1721,
1970,1973,5192,90
1960,1990,21344,
1988,2008,9866,
1950,1987,15120,
1959,1986,8081,
1991,1994,9710,
2001,2033,16032,
1971,1986,4505,
2002,2051,7050,
1999,2012,11869,
1979,2015,21619,
1984,2016,5026,
1998,2047,8844,
2017,2053,12070,
1968,2004,17235,
1984,1992,5091,
2014,2042,21783,
2020,2063,5047,
1953,2002,16042,3320
1969,1988,20064,
1957,1987,5368,
1989,2016,236,
1964,1999,13749,
1976,2009,348,
1970,1992,14360,
2003,2015,16904,
1954,1965,6059,
1997,2012,8558,
1956,1968,2814,
1978,2017,11453,
1954,1959,6753,
1982,2010,20146,
1955,1962,2163,
2011,2030,4902,90
2008,2049,7042,
1963,1997,3148,
2007,2012,20230,
2003,2020,10689,
2014,2058,4267,
1968,1972,12331,
2000,2031,13451,
1975,1981,7258,
1982,2027,10875,
1952,1986,12002,
2011,2021,9925,
1994,2009,14883,
1977,2025,7359,
1962,1972,7125,
1959,1985,12680,
1963,2003,14923,
2015,2055,2177,
1973,1982,2005,
1977,2014,9708,
1980,2004,3971,
1963,1976,11456,
2008,2050,5868,1355
1963,2013,7338,
2000,2046,9994,
1992,1994,7972,1797
1966,1986,7247,
1961,1986,20881,
1989,1990,3407,
1981,2000,16059,
1958,1963,2921,
1986,2032,11115,
2018,2062,11550,
1990,2008,390,
2019,2069,8674,24
1987,2034,3305,
1950,1967,14324,
1952,1959,14112,
1959,1986,8479,2822
2007,2017,19052,
1961,1967,3901,
1967,1971,2065,
1987,2014,15249,
2002,2034,15140,
1998,2026,6128,
2016,2066,11858,
1958,2007,9616,
1975,1986,7676,
1982,2020,20826,
1959,2008,12534,
1995,2030,21693,
1985,1999,12690,
1982,2002,17728,
1995,2023,14213,
1979,1990,14334,
1991,2001,4351,
2019,2068,17759,
1951,1994,1713,
1990,2027,1272,2183
1971,2008,18653,
1966,2013,1094,
1981,2011,16826,
1968,1985,21365,
1961,2008,20837,
1992,2024,15397,
1979,1988,14092,
2010,2032,11579,
1954,1962,20647,
1989,2003,18040,
1996,2002,9364,
2002,2017,10404,
2018,2055,19618,
2005,2036,16988,
1956,1993,16355,
2020,2023,6467,
1965,1988,18571,
1953,1992,21662,
2003,2015,10418,
1997,2002,4029,
1960,1965,13711,
1989,2039,3264,
1993,2040,6370,
2010,2042,11020,
2013,2017,1742,
1990,1994,15066,
1982,2029,19570,
1966,1988,18358,
2009,2048,17021,5352
2009,2028,8383,
1963,2002,2620,
1990,2019,20595,5209
1979,2028,617,
1953,1969,18657,
1999,2018,18601,
1985,2033,17976,
1978,2000,9619,
1961,1987,3047,
1968,2004,17535,
1961,1963,16847,
1970,1987,20826,
2006,2026,8963,
1965,1999,13647,
1967,1981,9837,
1971,1997,13444,
1951,1961,7403,
1956,2004,10818,1797
1990,2020,18145,
2010,2047,7887,
1961,1996,14825,
1965,2000,8778,
2005,2030,11530,
1973,2005,16692,
1986,2024,16631,
1966,1970,16557,
1963,1966,4938,
1990,1996,4356,
1965,1998,6091,
1971,2002,2468,
1994,2029,2826,2183
2007,2039,14158,
2000,2007,16088,
1969,2016,15729,
2014,2024,16335,1797
1984,1989,17697,
1966,1979,13887,
1951,1968,20791,
1988,2018,6936,
1989,2018,16258,
2015,2048,19822,
1958,1988,13328,1355
1989,2011,14461,
2017,2030,12359,
2002,2024,19067,
1969,2011,5888,
1975,2021,18771,
2006,2048,7658,
1969,2006,7609,
1991,1994,17962,2183
1995,2023,1537,2183
1979,2018,5477,
1993,2013,13476,
1980,1985,20473,
2017,2042,14218,
1996,2016,7871,
2018,2057,15087,24
2012,2052,19557,
1963,1973,2558,
1971,2021,21123,
2001,2039,10679,
1977,2018,18374,
1980,2003,9161,
1952,1991,3179,2822
1963,2003,14828,
2011,2040,16112,
1998,2002,131,
1963,1991,2350,
1953,1967,7337,
1981,1987,15146,
2010,2054,11434,
1953,1971,16022,
1950,1980,16404,
1992,1999,14345,
1992,2001,10120,
1995,2011,4428,
1965,1973,3120,
2020,2028,17091,
2011,2050,16446,
1963,1969,11926,
2014,2038,13904,
1953,1984,6535,
1962,1971,9124,
2004,2008,14876,
1999,2039,20766,
1993,2036,3768,
1997,2031,6791,
1957,1999,17870,1355
1976,2013,1267,
1974,2004,3945,
2005,2038,4037,
2009,2014,19716,
1989,2020,16714,
1991,2004,13656,
1992,2027,9569,
1969,1991,17521,
1998,2028,3226,
1988,2027,20240,
1984,2034,4837,
1953,1978,8018,324
2007,2029,7262,
2020,2030,9286,
1975,1993,7419,
2009,2047,2913,
1990,2030,12598,
1982,2005,20038,
1994,2001,4842,
2010,2027,20574,
2017,2033,675,
1976,1988,784,
1985,2014,353,
1970,1992,10041,
1958,1969,3427,
1973,1987,302,
1967,1985,1669,5209
2008,2035,17952,
1970,1978,18760,
2014,2028,7297,
1991,2009,6074,
1967,2010,18722,
1951,1990,3403,
1957,1994,1198,
1996,2046,1343,
1960,1980,19692,
2009,2022,9047,
1986,1989,12925,
2001,2019,6129,
1970,2009,7128,
2011,2052,1,90
1984,2014,20868,
1981,2030,8415,
2004,2020,1344,
1994,2037,881,
1962,1988,5423,
1974,2013,12892,
1986,2007,10640,
2015,2022,15108,
1995,2017,384,
2006,2029,19939,
1970,1994,6569,1797
2015,2035,2152,
1984,2020,14947,
1952,1970,20578,2009
1960,2005,16847,3320
1983,1998,18368,
1963,1971,563,
2019,2029,7739,
1973,2003,9404,
2006,2040,18702,
1951,1980,13227,
1964,1967,19774,
1959,1980,15512,
2001,2039,6515,
1965,1998,7174,
2002,2034,12085,
2018,2040,12716,
1984,1995,3233,
2015,2023,8417,
1992,1997,21709,
1959,2009,14901,
1988,2020,12935,
1990,2037,15366,
2012,2031,10780,
1950,1956,6476,
1991,2018,19513,
1978,2012,3937,
1971,1998,14796,
1979,1983,18374,
2004,2007,18519,
1975,1997,16107,
1980,1992,15759,
1981,2023,2479,
2017,2062,13193,
2007,2039,6584,
1988,2038,4494,
2003,2046,4606,
1977,2026,10174,
1974,1975,21280,
2018,2065,10351,
2006,2007,7787,
2001,2011,18608,
1976,2012,4526,
1956,1996,15512,
1957,1973,11179,
2018,2051,15841,
1967,2011,861,
1993,2028,9293,
1992,2036,864,
1976,1998,8264,
2018,2060,18101,
2019,2058,10060,
2016,2020,11157,
1980,2001,12044,2822
2000,2026,20135,
2010,2034,13820,
2010,2047,20796,
1969,2003,8131,
1986,1990,14736,
2021,2036,16974,3090
1950,1964,11783,324
2010,2053,3218,
1956,2004,5766,
1992,2027,210,324
1994,2028,21160,
1963,2013,10265,
1952,1976,13534,
1997,2020,16006,
1996,2017,16101,
2007,2040,7929,
1961,1965,10297,
1953,1965,16168,
2007,2014,21611,
2013,2033,3997,
2015,2024,8387,
2001,2039,10450,
1989,2036,2516,
1985,2025,8448,
1954,1980,2718,
1992,2037,8481,
2018,2032,5776,
1961,1970,20632,
1982,2028,5703,
1953,1986,8694,
2019,2057,15019,
1987,2013,8030,
2014,2059,12859,
1953,1963,16785,
1991,2013,7659,
1967,2015,12123,
1994,2011,5446,
1955,1989,10122,
2010,2047,18015,
1999,2021,4676,
2021,2051,8241,
1955,1986,1321,
1953,1956,4063,
2002,2023,18320,
1953,2000,14026,
2013,2021,3768,
1960,1988,15545,
2009,2036,19060,
1961,1979,1419,
2013,2057,17856,2183
2005,2009,4208,
2020,2037,10534,
1966,2003,1187,
1973,2010,5231,
1972,2017,15468,
2001,2003,19244,
1987,1999,11869,
1990,2011,16424,
2021,2023,16618,
1985,1990,2380,
2006,2034,5646,
1979,2025,5762,
1978,1988,1686,
1985,1994,19646,
1950,1972,15692,
1992,2036,1867,
2014,2050,10046,
2020,2029,7187,324
1961,2003,10846,3090
2009,2030,20877,2009
1989,1992,21094,
1977,1981,21784,
1956,1970,6330,
1990,1998,14881,
1982,2014,16881,
1983,2008,40,
2019,2060,5122,
1985,1988,11223,
1984,2025,19297,
1955,1998,4027,
2014,2018,7590,
1964,1974,10190,
1966,1967,7221,
1974,2023,20477,
1990,1996,2335,
1985,2030,7994,5352
2000,2035,1782,
1955,1980,3078,
1990,2010,6475,
1984,1988,4663,
2014,2054,8919,
1956,1997,11049,
1958,1993,158,
2011,2014,20201,
1966,1976,3156,4296
1989,2029,15148,
1994,2004,9686,
1999,2024,4899,
1953,1954,2996,
2014,2034,8752,
2010,2040,7264,
1955,1956,2412,
1992,2017,4853,3320
1988,2016,5837,
1969,1998,3044,
1959,2009,3687,
1978,2019,3027,
2003,2010,11688,
1952,1985,2237,
2018,2064,5035,
1982,2007,2080,2183
1992,1995,1189,24
1971,2002,14084,
1952,1971,8097,
1963,1970,15705,
2015,2030,5590,
1950,1973,6107,
1980,2009,6610,
2004,2032,15406,
1981,1994,19862,
1999,2039,8308,
2006,2046,14412,
1967,2017,2875,
1989,2004,11254,
2001,2031,13237,
2018,2055,10304,4296
1992,2032,14877,
1993,2014,14441,
2021,2054,2697,
1965,1967,18620,
2006,2049,15268,
1984,2016,16654,
1992,2007,5851,
1982,1993,2591,
2011,2014,17748,
1981,1982,18184,
1961,1965,9041,
2002,2004,8517,
2003,2036,13387,
2020,2028,14033,5209
1970,2016,4368,
1978,2000,9021,
2018,2025,19357,
2012,2041,10396,
1978,1986,4547,
1950,1980,14657,
1982,2017,38,
1999,2027,18537,
1990,2015,15936,
2006,2033,13388,
1969,2015,11035,
2009,2049,18256,
2004,2047,18352,
1962,1965,17574,
1971,2015,336,
1958,1986,3781,
1953,1975,566,
1976,2009,9782,
2004,2006,14916,
1978,2018,2735,
1983,2026,7834,2183
2004,2010,869,
2015,2055,20834,
1971,1983,21084,
2005,2034,2057,
1968,1981,1712,
2001,2017,15283,
2016,2045,13647,
1984,2013,15294,3090
1996,2013,1643,
1956,1977,18172,
2002,2009,15882,
2015,2052,21206,
1961,1968,3908,
2004,2052,1134,
1985,2009,6304,
1999,2025,19856,
2008,2010,11942,
1977,1997,3054,
1980,2011,16950,324
2016,2027,1320,
1961,2005,18086,
2002,2019,12114,
1997,2007,20125,
1965,1995,8625,
2002,2009,6189,
1993,1995,4024,
1976,1979,1797,
2000,2035,14078,
1977,1991,16503,
1993,2026,12878,
1987,2035,9300,
1951,1961,969,
2004,2027,15146,2009
1989,2013,7290,
2005,2016,5357,
1990,1999,10890,
1981,1983,18998,
1977,1993,4284,
1993,2019,5478,
2006,2052,17882,
1967,1990,13309,
1971,1984,6013,5209
1978,2028,3291,
1995,2020,12080,2009
1956,1989,211,
1979,1980,12031,
2002,2040,4515,
1961,1986,5891,
2002,2014,216,24
2020,2043,18866,
1979,2003,17701,
2020,2025,20643,
2011,2015,20180,
1964,2012,12266,1797
1958,2007,16273,
2006,2030,18564,
1963,1994,12348,
1976,2016,17715,
2003,2039,2185,
1998,2041,12029,
1965,1993,18303,
2020,2060,861,
2017,2050,12219,
1988,2001,12454,
1964,2010,4801,
1986,2016,6663,
1992,2023,12127,
1975,2022,17439,
1986,2033,11931,
2019,2022,5961,
1958,1985,3777,
1974,2019,12727,
1966,2000,1201,
1969,2017,12087,
1977,1987,21722,
