date,gate,departure_hour,statusID
2002-11-19,U2,22:41,6
1953-08-22,I3,5:22,1
1959-09-06,M1,1:13,1
1983-12-27,J2,12:19,1
1969-04-02,S4,15:58,9
1952-09-15,Z1,2:47,1
1981-04-11,V5,19:45,15
1977-09-07,L0,0:53,1
1990-12-11,N2,1:28,1
1956-10-29,L8,1:07,12
1962-02-26,R1,2:19,1
2007-11-17,Q4,2:15,1
1969-12-05,W8,10:49,5
1974-01-12,F7,19:07,2
1968-07-22,M4,12:45,2
1998-06-07,V3,0:42,2
1964-12-21,Q2,7:39,1
1967-05-02,L2,23:35,1
1992-04-21,H6,16:37,1
1960-07-28,R2,3:49,1
1954-05-14,C7,3:41,2
1972-04-13,Q8,4:03,1
1983-08-15,I9,16:03,8
2010-02-26,X5,3:21,2
1975-11-19,Z3,2:54,2
1986-04-18,E7,20:21,1
1998-05-25,V2,1:38,1
1955-06-06,T4,20:14,6
1979-12-10,I2,18:21,7
2000-04-10,O9,7:28,1
1962-08-26,W9,13:29,2
1951-11-29,W6,2:23,8
2001-11-26,Y4,4:02,1
2007-03-16,A7,4:05,1
2006-06-04,M7,1:10,3
2003-08-16,W6,17:17,1
2003-09-19,H1,3:52,1
1975-04-01,A4,17:51,1
2004-07-25,K5,22:51,1
1973-07-22,R0,1:37,2
1983-10-03,S0,6:07,1
1952-08-29,Y2,6:07,1
1982-11-23,K3,15:07,12
2014-01-03,H4,8:58,5
1978-01-14,X2,19:59,1
1995-03-08,E4,7:44,1
1979-10-02,A2,8:58,1
2016-10-31,Z3,16:12,1
2016-08-27,A7,8:22,1
1988-11-12,D3,19:06,7
2002-09-29,G1,22:50,7
1952-10-15,C7,2:19,6
1983-06-10,J0,17:00,12
1961-07-05,R9,10:35,5
1999-04-25,S2,9:06,2
1978-05-21,U6,12:26,1
2020-11-18,Q7,11:21,3
1996-11-24,U9,0:20,4
1964-03-25,E7,3:28,2
2016-06-08,F1,14:40,3
1955-05-16,X6,12:59,15
1993-04-16,Q9,12:32,1
1968-05-04,E5,11:45,1
1968-12-03,T6,13:05,3
1977-07-03,M2,12:52,1
1994-03-20,W6,18:24,4
1962-03-08,T8,3:19,9
1987-03-04,D3,22:22,1
1950-08-19,Y5,21:14,1
1962-01-16,T4,0:24,2
1965-05-22,T7,5:58,1
1955-07-04,U0,4:55,6
1978-09-29,P4,22:31,1
2012-07-27,A1,6:39,2
2001-06-03,M8,11:00,1
1959-01-06,C3,14:33,1
1989-09-01,F3,2:52,1
2014-09-19,P4,17:53,5
1995-08-03,Q2,7:53,1
1967-07-03,V0,15:01,1
1958-06-06,T4,15:00,1
1988-08-11,D3,18:08,1
2013-12-13,O8,12:22,1
1992-06-03,D3,2:01,1
1988-01-30,H1,6:26,5
1968-11-07,N4,3:58,11
1955-06-05,M0,2:16,1
1973-05-21,E8,14:39,2
1977-04-30,H6,13:14,9
1954-03-18,G9,5:45,1
1987-10-15,J5,17:12,1
1956-11-09,V7,3:45,10
1996-11-12,Q6,16:50,3
1977-05-05,L0,19:03,9
1963-03-14,T0,12:13,1
1975-02-01,R9,22:56,1
1989-09-26,P5,1:31,11
1995-03-14,A0,9:52,6
1971-09-18,T2,11:22,4
1987-07-11,I3,10:22,1
1968-04-08,X2,21:34,3
1957-02-20,L8,18:20,1
1993-04-08,L3,21:21,1
1978-04-29,T3,7:14,1
1979-09-24,L2,4:46,3
1956-09-08,G3,7:18,1
1960-03-14,B8,8:53,12
1978-11-24,I4,23:18,1
1962-09-04,V2,17:28,9
2005-12-30,S5,14:34,6
2013-01-10,O1,21:05,12
1977-08-23,J0,17:05,1
1950-06-20,Q4,5:54,1
1976-07-08,Z6,19:48,1
2019-02-15,D9,4:47,1
2019-06-05,C7,23:34,1
1990-10-18,I4,9:35,1
1992-06-20,C5,5:13,2
2006-01-17,I5,23:58,4
1993-11-20,M1,0:40,1
1998-11-03,O3,11:46,1
1973-12-29,E4,18:50,3
1963-05-24,S8,0:29,1
1974-12-28,B3,1:41,1
1976-05-24,N1,17:35,15
1987-07-10,R1,5:23,1
1965-03-30,C7,15:05,6
1976-04-19,T2,12:03,1
1991-09-27,Z4,16:19,1
1985-10-02,O9,10:48,1
1977-01-29,E4,2:28,1
1978-01-13,E5,21:10,2
1952-11-17,Y9,1:06,6
1965-02-04,H5,19:09,3
1991-10-03,V5,2:13,1
1964-06-10,Q6,8:17,1
1964-08-18,T1,15:06,5
2002-12-31,Z5,8:47,5
1954-02-22,W4,5:28,1
2004-10-16,V4,1:35,1
1986-01-05,K3,10:41,10
1961-09-03,E8,18:22,6
1993-08-28,J5,23:25,3
2019-08-31,O5,23:48,1
1956-11-02,G9,12:38,6
2007-06-15,X9,3:30,8
2015-03-31,M3,3:05,1
1962-10-22,P0,21:06,4
1973-08-12,Q6,2:30,1
2016-03-04,J2,19:58,2
1999-09-09,B3,15:58,1
1963-10-05,T3,16:28,1
1969-03-28,D5,22:01,1
1968-03-26,F9,2:42,1
2009-11-30,C2,4:17,2
2021-02-16,B2,3:03,3
1984-04-20,S9,9:39,5
2010-10-21,Z8,0:06,1
1958-04-11,R1,11:31,1
1950-01-18,P6,2:05,1
1955-06-01,G4,23:43,6
2009-07-31,A5,18:44,1
1985-04-07,S6,3:26,5
1967-07-18,P1,21:58,12
1985-12-27,T2,2:07,12
2013-05-12,B5,8:49,1
2012-09-14,J4,8:47,1
2004-12-31,R4,11:06,1
1966-05-29,V8,12:50,1
1981-11-28,L1,8:06,3
1961-11-14,Z1,7:11,10
2013-01-09,H0,0:26,1
1992-06-24,U2,23:52,10
1982-08-21,N4,19:06,1
1981-11-08,C2,11:00,1
1984-10-31,O0,8:23,1
1954-02-25,S5,23:25,2
1976-01-25,N9,18:42,7
1983-08-22,F4,14:47,3
2020-05-25,M9,16:53,1
2017-10-27,J2,15:45,1
2004-02-02,O7,3:39,1
2011-01-06,P0,19:46,7
1955-03-31,X2,21:11,11
1984-08-17,J6,23:26,6
1958-10-16,B5,15:24,1
2009-10-02,Y4,17:32,1
1989-05-08,R8,7:41,5
1992-06-18,T5,8:40,6
2011-10-16,K9,11:50,11
2011-02-04,K6,23:50,15
1972-02-23,Z4,17:08,7
1997-03-28,K0,21:30,1
1988-02-15,G6,11:52,1
2019-05-25,A3,4:08,3
1960-11-27,Y8,1:31,2
1976-08-04,K3,9:58,1
1957-08-19,V2,2:49,4
1985-03-07,S8,13:16,1
1980-11-07,N7,11:11,1
1950-10-25,E2,16:42,1
2000-01-20,I3,1:31,1
1992-01-28,Z7,8:20,1
1998-07-26,N1,9:02,1
1962-01-11,T2,19:25,1
1952-09-23,E3,23:31,2
1976-06-03,Q6,0:04,1
1981-12-14,Z7,10:46,1
2014-08-14,B4,16:29,11
2014-10-21,Q3,22:11,3
2008-03-16,M2,1:08,1
1982-11-28,R6,19:59,3
1994-02-11,W0,10:35,1
1972-04-25,W2,8:17,1
1971-01-18,K1,0:08,7
1964-01-03,O1,18:15,1
2016-05-19,F6,23:34,1
1964-05-29,V7,11:11,1
1961-07-17,R6,21:37,2
1958-09-25,W0,2:43,2
2007-11-29,X8,12:40,1
1985-07-21,B7,18:04,1
2018-12-22,V3,7:43,7
1988-01-17,W6,5:39,2
2012-11-02,V7,2:17,12
1967-10-24,Q6,18:19,1
1955-05-14,U4,15:54,8
1951-11-06,X5,0:35,3
1991-06-26,Q6,22:40,1
2009-12-17,P8,5:05,1
1970-09-17,U1,11:53,2
1992-02-04,Z0,16:54,1
1960-03-15,V0,7:21,2
1992-11-02,O3,15:17,5
2016-08-26,G0,23:03,1
1979-08-11,S1,1:23,5
1962-04-30,V3,20:34,5
1977-06-18,X3,12:27,15
2015-07-17,M0,20:19,1
1980-09-01,S8,8:31,10
1986-10-29,L4,1:08,1
2003-05-07,V7,13:43,8
2001-06-01,Z7,5:38,8
1951-02-16,V6,17:32,10
1952-03-02,M5,17:04,1
1967-02-21,K0,13:28,1
2014-12-11,W9,20:14,1
1957-08-29,L2,3:33,10
2016-01-11,G8,7:57,12
2003-04-10,K8,23:26,1
1969-12-12,C2,13:29,1
1999-07-02,P3,6:06,2
1964-09-21,B6,11:39,15
1968-12-20,H3,3:48,5
2002-04-04,N3,2:52,1
2019-07-17,E1,18:54,1
1980-08-03,R3,0:13,5
1972-11-15,R7,17:47,7
2017-03-29,H2,22:40,1
1987-09-26,X6,19:05,1
1988-10-30,M2,3:47,1
1957-08-13,W2,7:05,6
1990-11-22,I9,10:52,10
1955-08-28,A3,13:21,1
1975-09-15,O5,0:20,4
2004-03-06,S3,19:21,1
1968-12-26,C2,16:27,2
1980-12-30,Q8,15:35,1
1954-04-06,S2,23:45,5
1998-09-05,X7,15:14,7
1971-03-16,M2,5:05,2
1959-11-08,T4,3:25,1
2002-05-28,F0,11:01,2
2017-04-18,W1,1:22,1
1978-06-16,I3,22:05,1
1959-03-17,S1,23:37,1
1984-12-18,W9,18:30,9
1960-03-02,S4,20:33,11
1957-07-09,S5,18:26,1
1969-11-11,U7,3:46,8
1958-10-04,W9,16:33,1
1991-06-08,D7,11:18,7
1999-09-18,U7,4:48,2
1966-07-31,N7,19:46,7
1997-06-30,X7,21:45,1
2017-10-30,H2,4:53,3
2003-10-10,B3,14:29,1
1963-04-09,R2,4:04,3
2005-09-06,M9,16:45,2
1960-03-08,A6,8:28,12
1980-03-02,Q1,3:26,3
1956-03-16,C3,17:00,6
1991-02-10,P6,10:43,1
2002-06-07,Y3,15:34,2
2017-12-26,G6,8:27,2
1996-06-14,M9,7:12,1
1962-06-12,G9,12:28,4
1976-10-02,C0,13:24,2
1950-01-19,D8,7:44,5
1988-04-03,W7,5:46,1
1993-08-19,Z9,17:26,10
2005-10-18,E5,14:31,1
1969-03-13,L2,0:03,1
1974-01-14,F6,23:51,3
1978-08-22,O7,16:16,7
2010-03-24,O4,12:50,3
2001-01-12,W2,5:49,2
2003-10-05,Q6,4:43,1
1962-05-15,Z8,23:03,1
2012-09-03,S5,2:37,1
1950-11-19,B2,14:12,2
2010-03-16,M5,2:06,7
1990-01-14,U0,22:47,5
2000-10-29,L2,13:06,1
2017-07-01,V5,16:20,10
1965-10-02,Y5,23:48,3
1963-08-07,Z6,13:49,2
1986-04-18,M8,8:18,8
2001-11-06,J7,10:30,1
2020-05-22,D9,16:35,1
2003-12-25,G5,13:25,1
2014-07-19,L2,11:08,1
2001-12-25,J3,5:24,1
1988-09-06,H6,11:39,1
2005-09-29,F6,14:30,1
1989-07-02,I4,17:14,4
1994-09-19,G9,2:23,1
2006-04-29,T3,11:10,1
1983-08-23,H7,0:04,4
2010-09-04,A4,0:56,3
1984-09-24,E3,20:43,1
1968-06-21,B8,6:59,1
1951-10-22,J0,15:23,1
1977-02-11,A4,6:16,1
1951-07-19,R4,16:20,8
1980-04-13,C1,22:06,1
1986-03-22,R9,18:30,1
2016-04-02,U4,9:45,1
2001-05-22,A3,2:51,4
1991-05-23,E4,13:20,4
1959-10-01,F1,14:31,1
1963-01-19,T7,2:37,1
1999-10-01,D4,17:21,1
1991-04-20,P3,14:17,1
1983-09-12,U1,19:31,1
1964-08-03,X9,1:29,1
2006-07-16,F6,1:50,1
2010-05-05,M8,13:30,3
1964-09-09,Z2,14:05,4
1973-09-07,D3,8:45,4
2014-09-08,P2,5:07,1
1962-11-03,U9,16:30,1
1975-07-21,V2,3:42,6
1997-07-09,V0,20:26,1
1973-01-31,P6,3:38,6
1950-01-16,M6,2:26,6
1994-03-17,J5,1:57,11
1963-02-28,S1,0:41,1
2000-09-05,S8,14:46,1
1978-04-07,O2,2:10,8
1979-06-17,P0,9:38,4
1966-07-23,R6,8:20,1
1952-04-05,L3,23:35,1
2000-11-20,V3,3:07,11
2010-03-20,X3,0:04,1
1958-03-30,S5,15:03,1
1971-10-13,V5,6:19,2
1996-07-08,N8,19:00,1
1982-01-27,Y3,4:10,1
1960-06-07,W9,0:27,1
2005-09-09,J2,11:37,1
1967-04-19,G4,5:42,3
2013-03-30,S1,15:10,1
1998-07-29,L1,6:29,6
1979-12-30,H2,4:43,3
1985-05-28,Q6,9:34,1
1963-07-24,Y8,8:37,6
1973-07-04,L6,9:04,1
1995-03-29,H9,5:53,10
1968-07-21,L1,21:57,1
2002-02-02,B3,4:13,7
1972-05-04,E0,14:23,1
2015-05-04,R5,10:05,1
2005-04-17,X0,11:27,11
1997-04-24,L7,1:23,1
1983-10-12,M9,13:22,1
1993-01-24,A4,6:07,1
2007-05-13,A6,14:50,1
2016-11-21,A4,13:27,2
2006-01-07,P4,15:47,2
1979-12-02,Y1,4:46,1
1974-11-20,G6,22:38,5
2020-02-02,O1,4:43,1
1995-05-08,C3,1:27,9
1990-10-11,T6,4:35,1
1970-12-29,J2,9:59,1
2008-01-19,G1,6:48,1
2017-06-26,W1,2:17,1
1976-07-27,F0,16:00,1
