language,personID
Spanish,51155
Albanian,56544
English,104192
German,110311
English,89515
English,142157
Croatian,134916
English,49361
English,36400
Mandarin,96567
Bengali,164774
Hindi,49152
Swahili,69295
Italian,159099
Spanish,88644
Spanish,160627
Arabic,128322
Spanish,21501
English,18125
Mandarin,116098
Ukrainian,23631
German,6726
Spanish,167506
French,141857
Spanish,103046
Hungarian,31756
Catalan,17554
German,49576
French,117182
Italian,110508
French,2779
Russian,131814
Greek,45820
German,81420
Cakchiquel,121864
Greek,134100
French,80381
Spanish,58378
English,772
Nigerian,76388
Estonian,149532
French,130597
Bengali,180
Mandarin,32973
Danish,82198
English,12079
English,124757
English,85923
German,61957
Italian,143622
Spanish,140966
Spanish,171282
Spanish,10803
English,40177
French,6552
Spanish,100033
French,169042
English,92375
Greek,55883
Belorussian,91757
English,90575
French,119002
English,56369
Hebrew,132604
Spanish,83969
German,153209
English,130118
Albanian,113903
Spanish,59183
Bengali,44961
Bengali,106427
Assyrian,36842
Finnish,119014
Slovak,68764
English,99431
German,47360
Spanish,11954
Portuguese,744
Finnish,50633
Albanian,63139
Hindi,140476
Hindi,40376
German,10331
Spanish,114039
Bosnian,137787
Spanish,61675
Portuguese,45183
Spanish,109129
French,132772
English,80975
Kosovan,103651
English,128
French,8772
Latvian,104568
English,113434
Bulgarian,81664
Nepali,83098
German,58850
Uzbek,37564
Spanish,41402
Spanish,48469
French,14174
German,94949
English,128491
Georgian,55884
English,136966
Croatian,42536
Nepali,159882
English,30708
Hindi,148282
French,159911
Italian,130
English,13237
German,145475
English,83241
Spanish,60265
Bengali,76501
Mandarin,66752
English,105776
Danish,32276
English,91333
French,142696
English,171371
Berber,148168
English,159137
Bengali,127798
English,21690
Spanish,98232
Mandarin,27918
Malay,4793
Hindi,35086
German,50907
Italian,27048
English,10469
English,10485
Afrikaans,48395
Maltese,69366
Spanish,40455
Chavacano,143643
French,118576
Arabic,108319
English,47884
Mandarin,161165
Russian,137513
English,75703
German,140151
Spanish,77694
Japanese,86677
English,55835
French,17825
Italian,99298
German,142725
Maltese,161612
German,147684
English,27429
Italian,121522
Catalan,123693
German,157524
Spanish,152401
Taiwanese,141031
Spanish,59496
English,8366
English,112360
English,139695
English,56840
Berber,155312
Arabic,80468
Korean,167252
Bosnian,46350
English,85088
Hindi,68632
English,79612
English,129273
Korean,140766
English,71012
Georgian,72828
Urdu,170691
Spanish,91520
Spanish,30512
Italian,159147
Turkish,121774
Mandarin,151047
English,128062
French,36698
English,71654
Japanese,58195
German,7036
English,92936
Mandarin,62298
Ukrainian,132801
Spanish,143144
French,31411
English,12007
Georgian,38162
Albanian,161847
English,95148
Italian,102225
English,149268
French,23719
French,10983
English,46882
Bengali,30029
English,13454
French,35728
English,14111
Chavacano,104823
Finnish,18161
Spanish,151995
English,72663
English,52664
Bengali,22000
Kosovan,68088
Spanish,54846
Spanish,108577
English,149042
Portuguese,22590
Finnish,74566
English,135132
English,163239
Mandarin,132838
German,25049
Mandarin,32970
French,101537
English,64252
Turkish,31542
English,9216
English,171593
Spanish,166199
English,55543
English,99283
Moldavan,23595
French,42748
English,17285
English,15171
Italian,143836
Latvian,143540
Japanese,28140
English,144858
Greek,68027
German,143929
English,78940
Slovak,94291
German,147356
Japanese,171470
Spanish,30520
Spanish,164225
Spanish,51362
Mandarin,68881
Kosovan,103091
Georgian,19368
Catalan,127583
Berber,106934
Arabic,48871
Spanish,76926
Spanish,60679
Hindi,6644
English,123818
Mandarin,21839
English,49086
English,94339
Polish,118688
Spanish,7379
French,65929
Spanish,116283
English,84662
English,166361
German,54264
English,159798
Spanish,156979
Mandarin,64144
Spanish,94225
German,86916
Portuguese,62101
Vietnamese,46641
English,45703
Cakchiquel,4466
Spanish,105331
English,90924
German,50137
English,133633
Malay,8977
Spanish,42829
Indonesian,125817
Portuguese,8913
French,31796
Arabic,91417
Catalan,158210
English,152709
English,150221
French,28386
German,164372
English,73579
Spanish,170022
German,126016
French,152266
English,30753
Korean,91218
Spanish,170297
French,89731
Bosnian,114105
Portuguese,98250
Russian,89797
English,133277
Russian,125170
Bengali,70736
English,59514
Arabic,35963
Spanish,102326
English,44956
Italian,58199
French,10052
English,170672
English,136722
Estonian,47988
French,83839
Korean,12515
English,127018
Japanese,157305
Azerbaijani,125738
Japanese,38826
Spanish,60912
German,151098
English,64081
English,51196
German,2869
English,101765
Polish,58183
German,135199
English,70807
English,113873
English,43011
Norwegian,159380
French,151157
French,91381
Bengali,82486
English,144653
Spanish,43603
Bengali,43123
Mandarin,3853
Spanish,96548
Jakartanese,90357
Japanese,15614
Spanish,143041
Hebrew,156040
Italian,47231
Spanish,75979
Macedonian,132266
Spanish,134793
English,120356
Chao-chow,146163
Albanian,58458
German,13581
English,5371
German,85789
Korean,153698
Turkish,116229
English,95853
German,62962
Spanish,147036
English,52693
Japanese,59126
Mandarin,32636
Italian,100161
Japanese,88683
English,80528
German,142585
Japanese,55509
Ukrainian,95535
English,59688
Italian,146861
Albanian,168632
English,152086
Korean,41110
German,11738
French,94981
German,155027
Turkish,92123
Spanish,125406
Turkish,131454
Mandarin,22688
English,152871
Catalan,103199
Spanish,127283
English,62357
German,150588
English,76346
Spanish,18968
English,163466
Maltese,127666
English,43423
French,120870
English,58358
French,30050
Hindi,25183
Mandarin,144068
German,8858
Kurdish,46335
English,40993
English,115649
Spanish,161722
Mandarin,52283
Japanese,135820
English,129377
English,21013
English,87684
Hindi,66880
Arabic,68863
Mandarin,152578
Italian,43872
English,33586
Arabic,145869
Greek,78257
Russian,28085
Shanghainese,37906
Hungarian,158705
Mandarin,126856
English,148723
Nigerian,169824
Russian,141416
English,65344
Italian,133679
English,30998
German,60345
English,148116
French,69807
English,13342
English,65097
German,16601
English,15538
English,164667
Spanish,17692
Berber,44988
Macedonian,32657
Bosnian,86433
Spanish,76120
Mandarin,142540
Spanish,34894
Japanese,4137
Albanian,75416
Italian,36194
Jakartanese,125451
Spanish,53335
German,76995
Kurdish,87989
Portuguese,158728
English,121293
Korean,8340
German,171431
Catalan,119478
Japanese,7456
Slovak,164106
English,98108
English,30717
Estonian,144071
German,170982
English,164147
French,10103
English,95194
English,117307
English,163381
German,72806
Spanish,13990
English,129759
Russian,58822
French,50869
German,95125
English,103726
Arabic,29713
Russian,161556
English,103633
Estonian,99148
English,137069
Basque,61730
Dutch,27542
Yiddish,54375
Spanish,48561
English,92643
Afrikaans,131395
English,66504
German,124894
Kurdish,131030
English,13877
Afrikaans,164703
Georgian,87595
Hindi,87479
Bulgarian,131299
English,131585
Spanish,88370
Vietnamese,47305
English,162312
English,38875
Dutch,140055
French,35049
English,162688
Yiddish,93774
Turkish,111656
English,141358
Mandarin,67793
English,134492
Turkish,142641
Greek,146911
Spanish,146929
German,143637
Japanese,141847
Danish,146861
Arabic,144955
English,141486
Mandarin,144714
Italian,147291
Indonesian,145932
English,143001
English,145586
German,144971
French,140433
German,142923
Hungarian,147342
Korean,141976
English,140555
Mandarin,142835
English,146910
French,142331
Mandarin,140789
French,143692
Bengali,145945
Spanish,147548
French,141248
Spanish,146938
Mandarin,142172
Arabic,146429
Catalan,143422
Polish,145834
Italian,144416
English,147175
Hebrew,141663
English,145967
Korean,147114
English,144415
English,140958
Russian,140299
English,140974
Spanish,143112
Norwegian,141906
French,143371
Hindi,140650
Spanish,143040
English,141387
English,146896
German,140777
Spanish,143293
Mandarin,140279
Spanish,139807
Hindi,142049
Mongolian,144357
Spanish,140812
English,140385
English,140649
English,147590
German,144506
French,142205
French,143596
Mandarin,144067
English,146745
Spanish,139812
Bengali,140468
Cakchiquel,147464
Hungarian,146283
Dutch,142467
Mandarin,140973
Spanish,143734
English,139940
Georgian,143652
English,141907
Slovak,144335
Spanish,142221
Arabic,141523
German,143219
Thai,142840
German,141424
Spanish,145070
Portuguese,145649
Arabic,140700
Japanese,144434
Hindi,143752
Hebrew,143648
Berber,143291
French,145037
Turkish,145085
Serbian,142271
English,144199
Spanish,140104
Spanish,144732
French,146513
English,147024
Italian,147313
English,143821
Arabic,140902
English,143920
Cakchiquel,143601
English,146812
English,140650
Japanese,147246
Slovak,146642
Kyrgyz,140285
English,139958
English,144138
Turkish,141453
German,140228
French,145708
Russian,143956
English,142756
Spanish,143584
English,140334
Vietnamese,142649
English,146036
Spanish,145951
English,141335
Spanish,141669
Afrikaans,145780
Greek,143935
English,144584
Portuguese,141438
Afrikaans,142868
English,143748
Spanish,146191
German,142749
Turkish,146106
German,140456
Spanish,147415
Spanish,142634
English,146046
Macedonian,140210
English,146522
Arabic,145764
French,147179
Korean,143626
English,144458
Assyrian,140409
Bengali,144112
Bengali,142833
English,144340
Spanish,140456
English,142139
Finnish,140410
Polish,144487
English,147408
English,144538
Serbian,141947
German,146275
Russian,143421
Spanish,147189
Indonesian,144227
Spanish,144369
Mongolian,141252
English,145000
French,140461
English,146873
Portuguese,146600
English,141246
Korean,144882
Spanish,145681
Portuguese,145635
Hindi,142462
English,147454
Korean,142098
English,144135
Spanish,140807
Greek,143282
Swahili,140974
Spanish,141681
Latvian,144519
German,142020
Mandarin,147491
English,145658
French,144202
English,145772
Hindi,144624
English,140831
Spanish,145020
Russian,139962
English,145445
English,147535
English,141097
English,144791
Spanish,144424
Spanish,143499
Hindi,146410
Spanish,142249
Arabic,145324
Estonian,146346
Spanish,145134
English,140963
Arabic,145829
Hindi,144819
English,140759
German,144333
English,143635
German,143800
Spanish,141933
Arabic,143769
Arabic,144379
English,140251
English,140270
Bengali,144476
Lithuanian,140603
Bengali,141565
English,145435
Spanish,145637
Spanish,143274
Spanish,147091
Thai,141189
Estonian,143106
Portuguese,140387
Japanese,141428
English,143608
Maltese,145137
Italian,143432
English,143268
Spanish,140988
Shanghainese,142487
English,141864
English,145406
Shanghainese,141832
Bengali,142730
Mandarin,142503
Portuguese,144364
Portuguese,147214
English,145712
Korean,143632
Mandarin,145150
French,145647
Bosnian,145762
French,141462
English,145847
Mandarin,147413
Portuguese,142705
Italian,143281
Russian,141549
English,145019
German,142010
Italian,144545
German,141627
Turkish,141532
English,147183
Malay,143656
English,146292
English,140357
Cakchiquel,141676
Russian,145709
Korean,147015
Russian,142564
Korean,145285
Spanish,140956
Portuguese,146931
English,142067
Bengali,143940
Polish,146708
French,146926
Cakchiquel,143237
Spanish,143540
French,146998
English,140142
English,146631
English,141742
English,140528
English,143640
English,142486
Portuguese,140988
English,145189
Portuguese,147429
Hindi,144255
German,143864
English,140499
Spanish,140719
Mandarin,141235
English,140162
Hindi,145892
Greek,140419
Spanish,147334
French,140011
German,147215
German,143292
English,140086
Russian,141465
Danish,141171
English,140990
Dutch,141742
English,143489
English,140032
Spanish,145978
French,143477
Spanish,141101
Arabic,140339
Spanish,143863
German,145798
Bulgarian,140275
English,144900
English,144185
English,141465
Spanish,142780
Russian,145800
French,141352
Indonesian,141272
Macedonian,145309
English,143828
Japanese,143924
Serbian,146397
English,146454
Bengali,145642
Italian,140488
Finnish,140766
French,142470
Russian,140721
French,144688
Georgian,140209
Spanish,145186
English,140540
Mandarin,147590
German,140677
Spanish,145422
Spanish,144315
English,145763
Spanish,145948
English,144996
Hindi,142368
English,144549
German,145479
English,147564
Hungarian,141551
Bengali,140529
Spanish,141964
English,144850
Yiddish,147392
English,140980
Spanish,141271
Portuguese,143910
Italian,147227
Catalan,143209
Somali,140430
Italian,143580
English,146669
German,144005
French,147298
French,145935
German,143089
Arabic,146222
Spanish,140415
English,142176
Greek,144222
German,141722
Mandarin,142897
German,144079
English,141445
Belorussian,145389
English,141972
English,146331
English,142715
Arabic,147036
Russian,141415
Italian,142490
Serbian,145753
Spanish,143953
Turkish,146424
Estonian,143881
English,145552
English,140038
Hindi,143776
English,140096
Mongolian,142480
English,140131
Mandarin,145625
Mandarin,144251
English,145758
German,140268
Russian,140103
French,140448
Mandarin,139940
English,143237
Slovak,143333
Italian,147216
English,147039
German,142085
English,144177
Korean,144051
English,144698
Hindi,147566
English,142333
Russian,142609
German,143542
Mandarin,141512
Spanish,141152
Japanese,145480
Macedonian,141889
Vietnamese,144649
Afrikaans,146520
English,141573
English,145687
English,143091
English,144656
Hindi,146702
Greek,144867
English,146148
French,147409
English,141461
Spanish,140589
Danish,141520
Danish,140614
English,143913
French,142389
Spanish,147549
Spanish,143428
French,146623
Portuguese,143391
Hindi,143428
Hindi,143272
English,146653
Hindi,143406
Spanish,140267
French,143465
German,140043
Japanese,144319
French,140076
Hindi,146516
English,147555
Mandarin,145755
Japanese,140307
Arabic,147498
Danish,147030
Dutch,140418
English,142285
German,141951
Mongolian,142507
English,143735
Mandarin,139789
Polish,142177
Arabic,142934
Spanish,142074
English,147605
English,142403
English,141899
French,146060
English,145455
English,140179
Estonian,140558
German,143737
Spanish,147310
Spanish,144891
French,140490
Russian,141730
French,142169
Finnish,141171
Japanese,139792
Spanish,143678
German,144482
Hebrew,144007
English,141203
German,140699
French,141065
English,142019
English,142014
Bengali,144094
English,141251
Mandarin,146662
English,144125
Albanian,140101
English,147386
Japanese,144496
English,143071
English,142232
Dutch,145967
English,146474
Georgian,141387
Spanish,145228
French,141393
German,142649
Russian,145333
Spanish,140233
Mandarin,144930
German,142036
Yiddish,140860
Shanghainese,141040
English,145804
English,146766
Russian,145860
Arabic,141595
Spanish,147040
English,143716
Greek,144061
English,142275
Bengali,144809
Dutch,140005
Spanish,142621
English,140373
German,146837
English,141474
Spanish,143763
English,146616
English,146941
French,142994
Hindi,147603
Japanese,147370
Spanish,140481
English,144287
Macedonian,142714
Hindi,142342
Danish,144012
Slovak,143331
Spanish,144438
English,141713
Yiddish,142229
English,144870
English,144868
Greek,141316
Korean,143820
Lithuanian,140908
Estonian,147276
English,142024
Portuguese,146177
French,141775
French,140229
French,140589
English,141488
German,146684
Hungarian,146684
French,147056
Spanish,140064
German,141995
French,142971
French,147253
German,142844
Spanish,140509
English,144740
Kosovan,145928
Arabic,143347
English,141510
Korean,143510
Arabic,142866
English,140395
Italian,141059
French,141788
English,145547
English,145612
Greek,140231
English,140701
Bengali,144288
Japanese,144592
Spanish,141262
English,145169
Mandarin,147205
Croatian,144268
Georgian,146216
English,141945
English,144871
English,146587
English,140828
Spanish,141261
Serbian,146392
English,142372
Indonesian,144351
English,141066
Hebrew,142014
English,145411
French,144577
Afrikaans,140453
Bengali,143195
French,144291
Thai,147027
Spanish,146296
English,140105
French,141786
English,147287
English,146375
German,144886
French,145786
Spanish,140904
Spanish,140256
English,146045
Mandarin,146416
Catalan,140275
English,143884
English,142104
French,143761
Japanese,142380
English,141806
Arabic,144015
German,145981
Russian,145485
Hungarian,146210
Italian,140146
Danish,146987
German,140959
Bengali,140656
Spanish,140223
Kosovan,143240
English,140135
English,143224
Spanish,144558
Taiwanese,147452
Bengali,147561
Bengali,146643
German,142027
French,146492
English,142569
Hindi,142524
Spanish,140093
English,140025
French,145019
English,142053
Berber,144104
English,139950
English,141597
Ukrainian,143831
English,145873
Japanese,146289
Spanish,147400
Hindi,141629
English,146593
Mandarin,144609
English,140426
Uzbek,143782
English,143116
German,146938
Russian,146679
Mandarin,142253
Estonian,143463
Thai,141732
Spanish,145883
Greek,145781
German,142999
English,143155
Spanish,141538
Korean,140322
Spanish,142213
Vietnamese,143070
English,139903
English,141425
English,141242
Sundanese,145355
English,147339
Spanish,145548
English,144737
Afrikaans,141966
Spanish,145142
French,140273
French,140164
Spanish,142062
French,143756
English,144648
Italian,147067
Spanish,140984
German,146105
Spanish,142204
Croatian,144638
Spanish,142246
Arabic,144254
English,141960
Indonesian,147516
Spanish,143853
German,143638
German,145768
English,143479
English,144530
Bengali,139970
Spanish,143912
German,144409
Arabic,140918
Swahili,143457
English,146859
English,147446
English,140947
German,145097
Catalan,146784
French,142715
Portuguese,144562
Spanish,145481
Spanish,141891
German,146163
Mandarin,140971
English,141100
Ukrainian,144077
English,146062
Russian,145626
Spanish,145180
Serbian,140862
Spanish,143363
Mongolian,141452
Polish,144532
English,142090
Arabic,145045
Catalan,141039
Afrikaans,142455
Spanish,141029
German,141298
Finnish,141123
Georgian,143339
Russian,147128
Mandarin,145566
German,143890
English,145065
Spanish,141632
Spanish,146752
English,142396
English,146826
Spanish,141515
Urdu,144487
English,147086
Georgian,146052
Assyrian,145526
English,146055
English,142749
French,144698
Spanish,143631
Arabic,140406
Portuguese,144101
Japanese,144169
Mongolian,146214
Japanese,146579
Taiwanese,141267
Korean,145195
Spanish,145044
English,140415
English,143208
Serbian,146761
Spanish,141240
English,143809
French,146690
English,140956
French,145113
Thai,141858
Greek,139962
Hindi,144729
Hindi,139793
English,145630
Spanish,145539
Lithuanian,142741
Somali,146948
German,147245
English,145941
English,142089
Mandarin,141098
English,141545
Hindi,145302
French,145936
English,146363
Japanese,142301
Azerbaijani,142452
Hindi,140655
English,143475
English,142684
Latvian,145420
Vietnamese,146076
German,147257
English,140107
Portuguese,146077
German,143014
Spanish,145557
Azerbaijani,147528
Somali,142799
Portuguese,142348
Icelandic,142192
English,143662
Spanish,141770
Mandarin,140713
Spanish,141442
Hindi,142998
Hindi,144238
Spanish,140618
Arabic,142218
English,146859
Cambodian,142030
Danish,140358
English,141692
English,144918
Portuguese,143227
Spanish,143313
Macedonian,143426
Spanish,145496
Hindi,142804
English,143643
English,143492
Ukrainian,146331
French,144175
English,139908
English,143095
French,144241
Catalan,145105
Portuguese,147227
Hindi,144068
Hindi,144972
French,143994
French,140829
Spanish,145060
English,142995
Japanese,144550
English,142327
Kazakh,145017
Hindi,141340
English,142178
English,140145
English,143624
Spanish,145681
Mandarin,142600
Mandarin,143857
English,147456
German,142325
English,147579
English,144713
Croatian,146995
French,142299
Mandarin,140483
French,147278
Mandarin,145758
Nepali,144874
Spanish,146870
English,141703
French,143729
Spanish,146842
English,143137
German,141427
English,140781
Georgian,143367
Hindi,142461
German,140505
Chao-chow,140180
Indonesian,142090
English,140407
English,141408
Mandarin,140336
Italian,141664
Czech,144392
Kazakh,140689
English,147013
English,143668
English,142620
Russian,142869
English,143420
Spanish,141918
English,143882
English,143668
Mandarin,141594
Arabic,142757
Montenegrin,144671
Russian,144538
Mandarin,143108
Mongolian,141891
English,145954
Thai,141430
Danish,141882
Arabic,142341
English,145496
Estonian,140248
Thai,143150
Spanish,146603
German,146392
English,141751
Portuguese,146225
English,145660
Finnish,142710
English,146214
French,141299
English,144481
Russian,146860
Czech,141772
English,142058
Maltese,140138
Turkish,140931
French,144727
English,142000
Bosnian,146883
English,142629
Hebrew,139961
Arabic,142427
Russian,143835
English,140177
English,142550
Hindi,143413
Bengali,142541
French,142744
French,146793
Mandarin,144522
German,146061
French,146986
English,145512
French,141273
Taiwanese,144618
Italian,147097
Spanish,145076
English,146219
Czech,141871
French,144701
English,142099
German,145817
Mandarin,146481
German,145547
English,140359
Chao-chow,143711
English,147537
Mandarin,145052
Spanish,140871
Spanish,146082
Russian,147531
Catalan,140355
English,140643
German,140929
Arabic,140954
Spanish,141982
English,143879
English,147579
English,143411
French,143882
Mandarin,141802
English,141921
English,144703
Portuguese,145755
Spanish,146681
English,147222
English,141911
German,139869
Spanish,147596
Polish,144090
Mandarin,143069
Russian,141093
Kazakh,145185
Chao-chow,140179
Arabic,140666
English,145358
Turkish,140390
Spanish,143520
Mandarin,140593
Bengali,146503
Arabic,140851
Spanish,147195
English,141990
Spanish,141883
Spanish,142548
Ukrainian,141761
English,146725
Bosnian,140819
German,143601
English,145225
Cakchiquel,147219
Japanese,143876
Spanish,143870
Spanish,143239
German,143631
Moldavan,145731
Portuguese,143264
Hindi,142356
Japanese,145606
Malay,142776
Shanghainese,141646
German,141342
English,141813
English,143256
English,145813
Bulgarian,141005
Bengali,143783
Spanish,144914
Hindi,146919
French,142939
English,142460
Spanish,140069
Spanish,146199
Hindi,145890
Hebrew,142109
Spanish,147111
English,142131
English,142533
Spanish,145374
English,141152
French,139846
Japanese,140923
Mandarin,143262
German,144157
Somali,145583
Hindi,144981
English,146232
Dutch,144139
Hungarian,141899
Hindi,143862
English,145929
Azerbaijani,145357
Italian,144764
Russian,139905
English,145172
Arabic,143345
English,145320
English,145992
French,139907
Portuguese,144052
English,144208
English,147210
Spanish,142676
Russian,141141
Spanish,144309
Mandarin,140525
Russian,143540
German,144535
Greek,147237
Japanese,140713
Italian,141717
Spanish,145855
Turkish,144684
Estonian,140406
English,142180
English,142446
Portuguese,141469
Chao-chow,143134
Japanese,140213
English,142693
Spanish,140293
English,146014
English,141412
French,143070
Spanish,144913
English,140475
Portuguese,147575
German,140854
French,140035
Arabic,141202
German,144357
Spanish,145359
Estonian,141892
Mandarin,147586
German,144584
Portuguese,142361
English,143963
English,141585
Kazakh,141412
Russian,142929
Arabic,142292
Spanish,142263
English,142858
German,145929
Kurdish,140341
Portuguese,144286
Jakartanese,145285
English,147563
English,142548
Kosovan,141014
Azerbaijani,141987
French,141027
English,147119
Greek,147357
Azerbaijani,141126
Spanish,143932
Bengali,146150
Arabic,141428
Turkish,140768
Swedish,144708
English,141830
French,140498
English,143895
Portuguese,145447
English,145040
Kazakh,143805
Macedonian,140287
Italian,145353
