routeID,destination_airportID,departure_airportID,distance,minimum_petrol,time
68,139,41,NULL,NULL,NULL
69,73,45,NULL,NULL,NULL
70,187,45,NULL,NULL,NULL
71,188,45,NULL,NULL,NULL
72,192,45,NULL,NULL,NULL
73,155,48,NULL,NULL,NULL
74,179,48,NULL,NULL,NULL
75,175,49,NULL,NULL,NULL
76,195,49,NULL,NULL,NULL
77,99,49,NULL,NULL,NULL
78,4358,49,NULL,NULL,NULL
79,167,49,NULL,NULL,NULL
80,177,49,NULL,NULL,NULL
81,5745,49,NULL,NULL,NULL
82,5952,49,NULL,NULL,NULL
83,5560,49,NULL,NULL,NULL
84,5538,49,NULL,NULL,NULL
85,5826,49,NULL,NULL,NULL
86,5570,49,NULL,NULL,NULL
87,5625,49,NULL,NULL,NULL
88,503,49,NULL,NULL,NULL
89,5905,49,NULL,NULL,NULL
90,5545,49,NULL,NULL,NULL
91,90,49,NULL,NULL,NULL
92,100,49,NULL,NULL,NULL
93,119,49,NULL,NULL,NULL
94,121,49,NULL,NULL,NULL
95,145,49,NULL,NULL,NULL
96,155,49,NULL,NULL,NULL
97,159,49,NULL,NULL,NULL
98,165,49,NULL,NULL,NULL
99,192,49,NULL,NULL,NULL
100,5652,49,NULL,NULL,NULL
101,3522,50,NULL,NULL,NULL
102,186,50,NULL,NULL,NULL
103,131,50,NULL,NULL,NULL
104,154,54,NULL,NULL,NULL
105,68,54,NULL,NULL,NULL
106,3348,54,NULL,NULL,NULL
107,138,54,NULL,NULL,NULL
108,144,54,NULL,NULL,NULL
109,205,54,NULL,NULL,NULL
110,40,55,NULL,NULL,NULL
111,3483,55,NULL,NULL,NULL
112,100,55,NULL,NULL,NULL
113,131,55,NULL,NULL,NULL
114,139,55,NULL,NULL,NULL
115,147,55,NULL,NULL,NULL
116,169,55,NULL,NULL,NULL
117,4715,55,NULL,NULL,NULL
118,3497,55,NULL,NULL,NULL
119,153,55,NULL,NULL,NULL
120,73,56,NULL,NULL,NULL
121,100,56,NULL,NULL,NULL
122,145,56,NULL,NULL,NULL
123,192,56,NULL,NULL,NULL
124,195,60,NULL,NULL,NULL
125,192,61,NULL,NULL,NULL
126,3484,62,NULL,NULL,NULL
127,4193,62,NULL,NULL,NULL
128,145,62,NULL,NULL,NULL
129,65,63,NULL,NULL,NULL
130,111,63,NULL,NULL,NULL
131,63,65,NULL,NULL,NULL
132,54,68,NULL,NULL,NULL
133,138,68,NULL,NULL,NULL
134,37,68,NULL,NULL,NULL
135,182,69,NULL,NULL,NULL
136,195,69,NULL,NULL,NULL
137,32,69,NULL,NULL,NULL
138,195,72,NULL,NULL,NULL
139,5596,73,NULL,NULL,NULL
140,5827,73,NULL,NULL,NULL
141,5524,73,NULL,NULL,NULL
142,503,73,NULL,NULL,NULL
143,5905,73,NULL,NULL,NULL
144,45,73,NULL,NULL,NULL
145,56,73,NULL,NULL,NULL
146,100,73,NULL,NULL,NULL
147,117,73,NULL,NULL,NULL
148,124,73,NULL,NULL,NULL
149,125,73,NULL,NULL,NULL
150,134,73,NULL,NULL,NULL
151,145,73,NULL,NULL,NULL
152,181,73,NULL,NULL,NULL
153,187,73,NULL,NULL,NULL
154,188,73,NULL,NULL,NULL
155,192,73,NULL,NULL,NULL
156,40,75,NULL,NULL,NULL
157,3483,75,NULL,NULL,NULL
158,155,78,NULL,NULL,NULL
159,171,78,NULL,NULL,NULL
160,177,78,NULL,NULL,NULL
161,5905,79,NULL,NULL,NULL
162,111,80,NULL,NULL,NULL
163,153,80,NULL,NULL,NULL
164,160,80,NULL,NULL,NULL
165,201,80,NULL,NULL,NULL
166,177,85,NULL,NULL,NULL
167,155,87,NULL,NULL,NULL
168,175,87,NULL,NULL,NULL
169,163,87,NULL,NULL,NULL
170,171,87,NULL,NULL,NULL
171,5560,87,NULL,NULL,NULL
172,177,87,NULL,NULL,NULL
173,5652,87,NULL,NULL,NULL
174,5826,90,NULL,NULL,NULL
175,49,90,NULL,NULL,NULL
176,155,90,NULL,NULL,NULL
177,177,90,NULL,NULL,NULL
178,192,90,NULL,NULL,NULL
179,49,99,NULL,NULL,NULL
180,4358,99,NULL,NULL,NULL
181,195,100,NULL,NULL,NULL
182,55,100,NULL,NULL,NULL
183,5951,100,NULL,NULL,NULL
184,5827,100,NULL,NULL,NULL
185,5524,100,NULL,NULL,NULL
186,5596,100,NULL,NULL,NULL
187,337,100,NULL,NULL,NULL
188,5789,100,NULL,NULL,NULL
189,5772,100,NULL,NULL,NULL
190,503,100,NULL,NULL,NULL
191,5905,100,NULL,NULL,NULL
192,49,100,NULL,NULL,NULL
193,56,100,NULL,NULL,NULL
194,73,100,NULL,NULL,NULL
195,111,100,NULL,NULL,NULL
196,117,100,NULL,NULL,NULL
197,145,100,NULL,NULL,NULL
198,155,100,NULL,NULL,NULL
199,159,100,NULL,NULL,NULL
200,173,100,NULL,NULL,NULL
201,177,100,NULL,NULL,NULL
202,188,100,NULL,NULL,NULL
203,192,100,NULL,NULL,NULL
204,155,108,NULL,NULL,NULL
205,80,111,NULL,NULL,NULL
206,145,111,NULL,NULL,NULL
207,5827,111,NULL,NULL,NULL
208,5905,111,NULL,NULL,NULL
209,63,111,NULL,NULL,NULL
210,100,111,NULL,NULL,NULL
211,192,111,NULL,NULL,NULL
212,201,111,NULL,NULL,NULL
213,177,112,NULL,NULL,NULL
214,192,113,NULL,NULL,NULL
215,177,116,NULL,NULL,NULL
216,73,117,NULL,NULL,NULL
217,100,117,NULL,NULL,NULL
218,145,117,NULL,NULL,NULL
219,192,117,NULL,NULL,NULL
220,30,118,NULL,NULL,NULL
221,155,118,NULL,NULL,NULL
222,5826,119,NULL,NULL,NULL
223,5905,119,NULL,NULL,NULL
224,49,119,NULL,NULL,NULL
225,155,119,NULL,NULL,NULL
226,159,119,NULL,NULL,NULL
227,177,119,NULL,NULL,NULL
228,192,119,NULL,NULL,NULL
229,159,120,NULL,NULL,NULL
230,192,120,NULL,NULL,NULL
231,49,121,NULL,NULL,NULL
232,177,121,NULL,NULL,NULL
233,73,124,NULL,NULL,NULL
234,187,124,NULL,NULL,NULL
235,188,124,NULL,NULL,NULL
236,73,125,NULL,NULL,NULL
237,192,125,NULL,NULL,NULL
238,155,126,NULL,NULL,NULL
239,161,126,NULL,NULL,NULL
240,3486,127,NULL,NULL,NULL
241,4715,127,NULL,NULL,NULL
242,29,131,NULL,NULL,NULL
243,3475,131,NULL,NULL,NULL
244,50,131,NULL,NULL,NULL
245,55,131,NULL,NULL,NULL
246,146,131,NULL,NULL,NULL
247,186,131,NULL,NULL,NULL
248,195,131,NULL,NULL,NULL
249,41,131,NULL,NULL,NULL
250,159,131,NULL,NULL,NULL
251,3522,131,NULL,NULL,NULL
252,192,132,NULL,NULL,NULL
253,73,134,NULL,NULL,NULL
254,145,134,NULL,NULL,NULL
255,192,134,NULL,NULL,NULL
256,54,138,NULL,NULL,NULL
257,68,138,NULL,NULL,NULL
258,55,139,NULL,NULL,NULL
259,41,139,NULL,NULL,NULL
260,186,140,NULL,NULL,NULL
261,192,142,NULL,NULL,NULL
262,145,143,NULL,NULL,NULL
263,54,144,NULL,NULL,NULL
264,62,145,NULL,NULL,NULL
265,3484,145,NULL,NULL,NULL
266,111,145,NULL,NULL,NULL
267,148,145,NULL,NULL,NULL
268,153,145,NULL,NULL,NULL
269,2084,145,NULL,NULL,NULL
270,5951,145,NULL,NULL,NULL
271,5596,145,NULL,NULL,NULL
272,5745,145,NULL,NULL,NULL
273,5720,145,NULL,NULL,NULL
274,5872,145,NULL,NULL,NULL
275,5772,145,NULL,NULL,NULL
276,503,145,NULL,NULL,NULL
277,5651,145,NULL,NULL,NULL
278,5905,145,NULL,NULL,NULL
279,5827,145,NULL,NULL,NULL
280,3706,145,NULL,NULL,NULL
281,5900,145,NULL,NULL,NULL
282,5524,145,NULL,NULL,NULL
283,300,145,NULL,NULL,NULL
284,1841,145,NULL,NULL,NULL
285,1347,145,NULL,NULL,NULL
286,1795,145,NULL,NULL,NULL
287,1744,145,NULL,NULL,NULL
288,5826,145,NULL,NULL,NULL
289,5570,145,NULL,NULL,NULL
290,2735,145,NULL,NULL,NULL
291,5608,145,NULL,NULL,NULL
292,337,145,NULL,NULL,NULL
293,1622,145,NULL,NULL,NULL
294,1850,145,NULL,NULL,NULL
295,5789,145,NULL,NULL,NULL
296,5625,145,NULL,NULL,NULL
297,5952,145,NULL,NULL,NULL
298,5560,145,NULL,NULL,NULL
299,1725,145,NULL,NULL,NULL
300,5953,145,NULL,NULL,NULL
301,343,145,NULL,NULL,NULL
302,1837,145,NULL,NULL,NULL
303,2737,145,NULL,NULL,NULL
304,1706,145,NULL,NULL,NULL
305,5545,145,NULL,NULL,NULL
306,1858,145,NULL,NULL,NULL
307,1862,145,NULL,NULL,NULL
308,27,145,NULL,NULL,NULL
309,28,145,NULL,NULL,NULL
310,49,145,NULL,NULL,NULL
311,56,145,NULL,NULL,NULL
312,73,145,NULL,NULL,NULL
313,100,145,NULL,NULL,NULL
314,117,145,NULL,NULL,NULL
315,134,145,NULL,NULL,NULL
316,143,145,NULL,NULL,NULL
317,152,145,NULL,NULL,NULL
318,155,145,NULL,NULL,NULL
319,159,145,NULL,NULL,NULL
320,177,145,NULL,NULL,NULL
321,181,145,NULL,NULL,NULL
322,188,145,NULL,NULL,NULL
323,191,145,NULL,NULL,NULL
324,192,145,NULL,NULL,NULL
325,201,145,NULL,NULL,NULL
326,3526,145,NULL,NULL,NULL
327,1634,145,NULL,NULL,NULL
328,1891,145,NULL,NULL,NULL
329,5757,145,NULL,NULL,NULL
330,209,145,NULL,NULL,NULL
331,1767,145,NULL,NULL,NULL
332,1050,145,NULL,NULL,NULL
333,1844,145,NULL,NULL,NULL
334,1843,145,NULL,NULL,NULL
335,29,146,NULL,NULL,NULL
336,55,147,NULL,NULL,NULL
337,3483,147,NULL,NULL,NULL
338,3484,148,NULL,NULL,NULL
339,145,148,NULL,NULL,NULL
340,152,148,NULL,NULL,NULL
341,169,151,NULL,NULL,NULL
342,145,152,NULL,NULL,NULL
343,148,152,NULL,NULL,NULL
344,3500,153,NULL,NULL,NULL
345,3484,153,NULL,NULL,NULL
346,3469,153,NULL,NULL,NULL
347,80,153,NULL,NULL,NULL
348,3508,153,NULL,NULL,NULL
349,3496,153,NULL,NULL,NULL
350,4193,153,NULL,NULL,NULL
351,4194,153,NULL,NULL,NULL
352,55,153,NULL,NULL,NULL
353,145,153,NULL,NULL,NULL
354,54,154,NULL,NULL,NULL
355,195,154,NULL,NULL,NULL
356,6079,155,NULL,NULL,NULL
357,87,155,NULL,NULL,NULL
358,175,155,NULL,NULL,NULL
359,4202,155,NULL,NULL,NULL
360,30,155,NULL,NULL,NULL
361,3511,155,NULL,NULL,NULL
362,118,155,NULL,NULL,NULL
363,161,155,NULL,NULL,NULL
364,163,155,NULL,NULL,NULL
365,183,155,NULL,NULL,NULL
366,199,155,NULL,NULL,NULL
367,4713,155,NULL,NULL,NULL
368,3533,155,NULL,NULL,NULL
369,48,155,NULL,NULL,NULL
370,78,155,NULL,NULL,NULL
371,126,155,NULL,NULL,NULL
372,5745,155,NULL,NULL,NULL
373,5952,155,NULL,NULL,NULL
374,5560,155,NULL,NULL,NULL
375,503,155,NULL,NULL,NULL
376,2182,155,NULL,NULL,NULL
377,5905,155,NULL,NULL,NULL
378,5795,155,NULL,NULL,NULL
379,5538,155,NULL,NULL,NULL
380,5652,155,NULL,NULL,NULL
381,1937,155,NULL,NULL,NULL
382,5826,155,NULL,NULL,NULL
383,5570,155,NULL,NULL,NULL
384,337,155,NULL,NULL,NULL
385,2916,155,NULL,NULL,NULL
386,2258,155,NULL,NULL,NULL
387,5803,155,NULL,NULL,NULL
388,3213,155,NULL,NULL,NULL
389,1767,155,NULL,NULL,NULL
390,343,155,NULL,NULL,NULL
391,5532,155,NULL,NULL,NULL
392,5449,155,NULL,NULL,NULL
393,5486,155,NULL,NULL,NULL
394,1779,155,NULL,NULL,NULL
395,5545,155,NULL,NULL,NULL
396,3166,155,NULL,NULL,NULL
397,33,155,NULL,NULL,NULL
398,34,155,NULL,NULL,NULL
399,49,155,NULL,NULL,NULL
400,90,155,NULL,NULL,NULL
401,100,155,NULL,NULL,NULL
402,108,155,NULL,NULL,NULL
403,119,155,NULL,NULL,NULL
404,145,155,NULL,NULL,NULL
405,159,155,NULL,NULL,NULL
406,165,155,NULL,NULL,NULL
407,167,155,NULL,NULL,NULL
408,171,155,NULL,NULL,NULL
409,172,155,NULL,NULL,NULL
410,177,155,NULL,NULL,NULL
411,178,155,NULL,NULL,NULL
412,180,155,NULL,NULL,NULL
413,192,155,NULL,NULL,NULL
414,197,155,NULL,NULL,NULL
415,2179,155,NULL,NULL,NULL
416,5872,155,NULL,NULL,NULL
417,131,159,NULL,NULL,NULL
418,186,159,NULL,NULL,NULL
419,5826,159,NULL,NULL,NULL
420,5905,159,NULL,NULL,NULL
421,49,159,NULL,NULL,NULL
422,100,159,NULL,NULL,NULL
423,119,159,NULL,NULL,NULL
424,120,159,NULL,NULL,NULL
425,145,159,NULL,NULL,NULL
426,155,159,NULL,NULL,NULL
427,165,159,NULL,NULL,NULL
428,177,159,NULL,NULL,NULL
429,192,159,NULL,NULL,NULL
430,80,160,NULL,NULL,NULL
431,201,160,NULL,NULL,NULL
432,187,160,NULL,NULL,NULL
433,155,161,NULL,NULL,NULL
434,126,161,NULL,NULL,NULL
435,87,163,NULL,NULL,NULL
436,155,163,NULL,NULL,NULL
437,177,163,NULL,NULL,NULL
438,5826,165,NULL,NULL,NULL
439,49,165,NULL,NULL,NULL
440,155,165,NULL,NULL,NULL
441,159,165,NULL,NULL,NULL
442,177,165,NULL,NULL,NULL
443,192,165,NULL,NULL,NULL
444,177,166,NULL,NULL,NULL
445,49,167,NULL,NULL,NULL
446,171,167,NULL,NULL,NULL
447,179,167,NULL,NULL,NULL
448,155,167,NULL,NULL,NULL
449,55,169,NULL,NULL,NULL
450,151,169,NULL,NULL,NULL
451,78,171,NULL,NULL,NULL
452,87,171,NULL,NULL,NULL
453,167,171,NULL,NULL,NULL
454,172,171,NULL,NULL,NULL
455,177,171,NULL,NULL,NULL
456,178,171,NULL,NULL,NULL
457,179,171,NULL,NULL,NULL
458,155,171,NULL,NULL,NULL
459,171,172,NULL,NULL,NULL
460,155,172,NULL,NULL,NULL
461,178,172,NULL,NULL,NULL
462,5905,173,NULL,NULL,NULL
463,100,173,NULL,NULL,NULL
464,192,173,NULL,NULL,NULL
465,87,175,NULL,NULL,NULL
466,155,175,NULL,NULL,NULL
467,177,175,NULL,NULL,NULL
468,195,175,NULL,NULL,NULL
469,192,176,NULL,NULL,NULL
470,49,177,NULL,NULL,NULL
471,85,177,NULL,NULL,NULL
472,171,177,NULL,NULL,NULL
473,5745,177,NULL,NULL,NULL
474,5872,177,NULL,NULL,NULL
475,5952,177,NULL,NULL,NULL
476,5560,177,NULL,NULL,NULL
477,503,177,NULL,NULL,NULL
478,5905,177,NULL,NULL,NULL
479,5538,177,NULL,NULL,NULL
480,5806,177,NULL,NULL,NULL
481,1795,177,NULL,NULL,NULL
482,5826,177,NULL,NULL,NULL
483,5570,177,NULL,NULL,NULL
484,337,177,NULL,NULL,NULL
485,5625,177,NULL,NULL,NULL
486,2182,177,NULL,NULL,NULL
487,5795,177,NULL,NULL,NULL
488,1779,177,NULL,NULL,NULL
489,5545,177,NULL,NULL,NULL
490,1783,177,NULL,NULL,NULL
491,1862,177,NULL,NULL,NULL
492,34,177,NULL,NULL,NULL
493,78,177,NULL,NULL,NULL
494,87,177,NULL,NULL,NULL
495,90,177,NULL,NULL,NULL
496,100,177,NULL,NULL,NULL
497,112,177,NULL,NULL,NULL
498,116,177,NULL,NULL,NULL
499,119,177,NULL,NULL,NULL
500,121,177,NULL,NULL,NULL
501,145,177,NULL,NULL,NULL
502,155,177,NULL,NULL,NULL
503,159,177,NULL,NULL,NULL
504,163,177,NULL,NULL,NULL
505,165,177,NULL,NULL,NULL
506,166,177,NULL,NULL,NULL
507,183,177,NULL,NULL,NULL
508,192,177,NULL,NULL,NULL
509,195,177,NULL,NULL,NULL
510,5652,177,NULL,NULL,NULL
511,171,178,NULL,NULL,NULL
512,155,178,NULL,NULL,NULL
513,172,178,NULL,NULL,NULL
514,48,179,NULL,NULL,NULL
515,167,179,NULL,NULL,NULL
516,171,179,NULL,NULL,NULL
517,155,180,NULL,NULL,NULL
518,73,181,NULL,NULL,NULL
519,145,181,NULL,NULL,NULL
520,192,181,NULL,NULL,NULL
521,32,182,NULL,NULL,NULL
522,69,182,NULL,NULL,NULL
523,195,182,NULL,NULL,NULL
524,155,183,NULL,NULL,NULL
525,5545,183,NULL,NULL,NULL
526,177,183,NULL,NULL,NULL
527,192,183,NULL,NULL,NULL
528,5652,183,NULL,NULL,NULL
529,50,186,NULL,NULL,NULL
530,131,186,NULL,NULL,NULL
531,140,186,NULL,NULL,NULL
532,159,186,NULL,NULL,NULL
533,45,187,NULL,NULL,NULL
534,73,187,NULL,NULL,NULL
535,124,187,NULL,NULL,NULL
536,160,187,NULL,NULL,NULL
537,188,187,NULL,NULL,NULL
538,503,188,NULL,NULL,NULL
539,45,188,NULL,NULL,NULL
540,73,188,NULL,NULL,NULL
541,100,188,NULL,NULL,NULL
542,124,188,NULL,NULL,NULL
543,145,188,NULL,NULL,NULL
544,187,188,NULL,NULL,NULL
545,192,188,NULL,NULL,NULL
546,27,191,NULL,NULL,NULL
547,145,191,NULL,NULL,NULL
548,300,192,NULL,NULL,NULL
549,5951,192,NULL,NULL,NULL
550,5596,192,NULL,NULL,NULL
551,5745,192,NULL,NULL,NULL
552,5872,192,NULL,NULL,NULL
553,5952,192,NULL,NULL,NULL
554,5560,192,NULL,NULL,NULL
555,5772,192,NULL,NULL,NULL
556,503,192,NULL,NULL,NULL
557,5953,192,NULL,NULL,NULL
558,5651,192,NULL,NULL,NULL
559,5905,192,NULL,NULL,NULL
560,5827,192,NULL,NULL,NULL
561,2731,192,NULL,NULL,NULL
562,5757,192,NULL,NULL,NULL
563,2750,192,NULL,NULL,NULL
564,2093,192,NULL,NULL,NULL
565,3706,192,NULL,NULL,NULL
566,1187,192,NULL,NULL,NULL
567,6043,192,NULL,NULL,NULL
568,5900,192,NULL,NULL,NULL
569,2732,192,NULL,NULL,NULL
570,5765,192,NULL,NULL,NULL
571,2575,192,NULL,NULL,NULL
572,5524,192,NULL,NULL,NULL
573,5924,192,NULL,NULL,NULL
574,1841,192,NULL,NULL,NULL
575,1347,192,NULL,NULL,NULL
576,5562,192,NULL,NULL,NULL
577,5834,192,NULL,NULL,NULL
578,602,192,NULL,NULL,NULL
579,1795,192,NULL,NULL,NULL
580,5564,192,NULL,NULL,NULL
581,5826,192,NULL,NULL,NULL
582,5720,192,NULL,NULL,NULL
583,593,192,NULL,NULL,NULL
584,5570,192,NULL,NULL,NULL
585,1515,192,NULL,NULL,NULL
586,5608,192,NULL,NULL,NULL
587,337,192,NULL,NULL,NULL
588,1865,192,NULL,NULL,NULL
589,1876,192,NULL,NULL,NULL
590,2738,192,NULL,NULL,NULL
591,2437,192,NULL,NULL,NULL
592,1849,192,NULL,NULL,NULL
593,2916,192,NULL,NULL,NULL
594,1850,192,NULL,NULL,NULL
595,5789,192,NULL,NULL,NULL
596,5625,192,NULL,NULL,NULL
597,5660,192,NULL,NULL,NULL
598,5426,192,NULL,NULL,NULL
599,1724,192,NULL,NULL,NULL
600,2652,192,NULL,NULL,NULL
601,1822,192,NULL,NULL,NULL
602,1725,192,NULL,NULL,NULL
603,5534,192,NULL,NULL,NULL
604,5617,192,NULL,NULL,NULL
605,1767,192,NULL,NULL,NULL
606,5792,192,NULL,NULL,NULL
607,5933,192,NULL,NULL,NULL
608,5936,192,NULL,NULL,NULL
609,343,192,NULL,NULL,NULL
610,1888,192,NULL,NULL,NULL
611,2182,192,NULL,NULL,NULL
612,5449,192,NULL,NULL,NULL
613,5538,192,NULL,NULL,NULL
614,5645,192,NULL,NULL,NULL
615,1700,192,NULL,NULL,NULL
616,1707,192,NULL,NULL,NULL
617,1706,192,NULL,NULL,NULL
618,5486,192,NULL,NULL,NULL
619,5701,192,NULL,NULL,NULL
620,5697,192,NULL,NULL,NULL
621,5868,192,NULL,NULL,NULL
622,5806,192,NULL,NULL,NULL
623,2518,192,NULL,NULL,NULL
624,5652,192,NULL,NULL,NULL
625,5545,192,NULL,NULL,NULL
626,1826,192,NULL,NULL,NULL
627,1858,192,NULL,NULL,NULL
628,5753,192,NULL,NULL,NULL
629,5820,192,NULL,NULL,NULL
630,1549,192,NULL,NULL,NULL
631,5721,192,NULL,NULL,NULL
632,2749,192,NULL,NULL,NULL
633,1572,192,NULL,NULL,NULL
634,1862,192,NULL,NULL,NULL
635,669,192,NULL,NULL,NULL
636,21,192,NULL,NULL,NULL
637,45,192,NULL,NULL,NULL
638,49,192,NULL,NULL,NULL
639,56,192,NULL,NULL,NULL
640,61,192,NULL,NULL,NULL
641,73,192,NULL,NULL,NULL
642,90,192,NULL,NULL,NULL
643,100,192,NULL,NULL,NULL
644,111,192,NULL,NULL,NULL
645,113,192,NULL,NULL,NULL
646,117,192,NULL,NULL,NULL
647,119,192,NULL,NULL,NULL
648,120,192,NULL,NULL,NULL
649,125,192,NULL,NULL,NULL
650,132,192,NULL,NULL,NULL
651,134,192,NULL,NULL,NULL
652,142,192,NULL,NULL,NULL
653,145,192,NULL,NULL,NULL
654,155,192,NULL,NULL,NULL
655,159,192,NULL,NULL,NULL
656,165,192,NULL,NULL,NULL
657,173,192,NULL,NULL,NULL
658,176,192,NULL,NULL,NULL
659,177,192,NULL,NULL,NULL
660,181,192,NULL,NULL,NULL
661,183,192,NULL,NULL,NULL
662,188,192,NULL,NULL,NULL
663,198,192,NULL,NULL,NULL
664,1634,192,NULL,NULL,NULL
665,1832,192,NULL,NULL,NULL
666,2179,192,NULL,NULL,NULL
667,3363,192,NULL,NULL,NULL
668,2757,192,NULL,NULL,NULL
669,1814,192,NULL,NULL,NULL
670,1844,192,NULL,NULL,NULL
671,100,195,NULL,NULL,NULL
672,175,195,NULL,NULL,NULL
673,32,195,NULL,NULL,NULL
674,37,195,NULL,NULL,NULL
675,49,195,NULL,NULL,NULL
676,69,195,NULL,NULL,NULL
677,131,195,NULL,NULL,NULL
678,154,195,NULL,NULL,NULL
679,182,195,NULL,NULL,NULL
680,60,195,NULL,NULL,NULL
681,72,195,NULL,NULL,NULL
682,4366,195,NULL,NULL,NULL
683,3454,195,NULL,NULL,NULL
684,3514,195,NULL,NULL,NULL
685,177,195,NULL,NULL,NULL
686,155,197,NULL,NULL,NULL
687,192,198,NULL,NULL,NULL
688,155,199,NULL,NULL,NULL
689,80,201,NULL,NULL,NULL
690,160,201,NULL,NULL,NULL
691,111,201,NULL,NULL,NULL
692,145,201,NULL,NULL,NULL
693,54,205,NULL,NULL,NULL
694,209,208,NULL,NULL,NULL
695,1300,208,NULL,NULL,NULL
696,1318,208,NULL,NULL,NULL
697,1351,208,NULL,NULL,NULL
698,341,209,NULL,NULL,NULL
699,1347,209,NULL,NULL,NULL
700,1318,209,NULL,NULL,NULL
701,219,209,NULL,NULL,NULL
702,251,209,NULL,NULL,NULL
703,1182,209,NULL,NULL,NULL
704,2084,209,NULL,NULL,NULL
705,232,209,NULL,NULL,NULL
706,1187,209,NULL,NULL,NULL
707,2091,209,NULL,NULL,NULL
708,208,209,NULL,NULL,NULL
709,1022,209,NULL,NULL,NULL
710,3540,209,NULL,NULL,NULL
711,1230,209,NULL,NULL,NULL
712,300,209,NULL,NULL,NULL
713,233,209,NULL,NULL,NULL
714,1101,209,NULL,NULL,NULL
715,1050,209,NULL,NULL,NULL
716,220,209,NULL,NULL,NULL
717,210,209,NULL,NULL,NULL
718,1060,209,NULL,NULL,NULL
719,2101,209,NULL,NULL,NULL
720,5336,209,NULL,NULL,NULL
721,3543,209,NULL,NULL,NULL
722,1285,209,NULL,NULL,NULL
723,1515,209,NULL,NULL,NULL
724,337,209,NULL,NULL,NULL
725,235,209,NULL,NULL,NULL
726,1622,209,NULL,NULL,NULL
727,236,209,NULL,NULL,NULL
728,222,209,NULL,NULL,NULL
729,237,209,NULL,NULL,NULL
730,5426,209,NULL,NULL,NULL
731,503,209,NULL,NULL,NULL
732,1364,209,NULL,NULL,NULL
733,1596,209,NULL,NULL,NULL
734,1300,209,NULL,NULL,NULL
735,1197,209,NULL,NULL,NULL
736,231,209,NULL,NULL,NULL
737,1485,209,NULL,NULL,NULL
738,217,209,NULL,NULL,NULL
739,1319,209,NULL,NULL,NULL
740,278,209,NULL,NULL,NULL
741,241,209,NULL,NULL,NULL
742,229,209,NULL,NULL,NULL
743,1351,209,NULL,NULL,NULL
744,244,209,NULL,NULL,NULL
745,5449,209,NULL,NULL,NULL
746,3237,209,NULL,NULL,NULL
747,4183,209,NULL,NULL,NULL
748,2828,209,NULL,NULL,NULL
749,221,209,NULL,NULL,NULL
750,238,209,NULL,NULL,NULL
751,223,209,NULL,NULL,NULL
752,1128,209,NULL,NULL,NULL
753,228,209,NULL,NULL,NULL
754,1239,209,NULL,NULL,NULL
755,285,209,NULL,NULL,NULL
756,1572,209,NULL,NULL,NULL
757,145,209,NULL,NULL,NULL
