airlineID,planeTypeID,starting_year,index,retirement_year,rent_airlineID
3090,64,1954,5,1998,
4374,75,1966,4,2005,
5209,122,1974,2,1993,
4608,13,1969,5,2010,2009
2942,64,1977,5,2023,
4296,75,1977,2,1996,
17083,15,2017,3,2046,
5209,170,2008,3,2037,
5265,75,1974,3,2002,
2009,218,2015,1,2024,
2634,15,1950,1,1960,
5209,75,1997,4,2031,
1317,11,1971,4,2006,
2439,15,1987,3,2013,
3776,152,1954,1,1964,
4951,17,1987,2,2006,
2604,170,1996,3,2024,24
1758,17,2009,3,2038,
13899,7,1984,5,2027,
3674,75,1962,5,2005,
4259,15,1986,3,2011,90
24,75,1996,3,2021,24
1767,13,1956,5,2001,
5352,15,1998,3,2028,
6183,187,2002,4,2042,
2439,15,1980,4,2013,
1767,15,1958,3,1982,
3179,94,1960,2,1980,
137,12,1979,2,1998,
805,15,1985,1,1994,
2548,15,1987,2,2006,1797
4296,75,1955,5,1997,
1886,170,1989,1,1997,
28,21,1954,2,1972,
5209,75,2002,2,2018,
5265,17,2019,1,2029,
1758,15,1963,2,1981,
35,15,1986,1,1995,
4867,19,1983,2,2001,
2942,64,2003,2,2019,
1758,174,1986,3,2013,
3321,123,2014,1,2024,
2009,20,1990,5,2037,
2822,94,1958,2,1975,5352
3000,75,1993,5,2033,5209
24,94,2012,1,2021,
2660,75,1958,3,1985,
2350,21,2014,2,2032,
345,15,2015,4,2049,
330,21,2017,4,2053,
17885,15,1995,3,2022,
2684,15,2014,2,2031,
4608,13,1977,2,1993,
5213,13,1972,5,2017,
3968,5,1960,3,1989,
2548,13,1967,4,2000,
3290,76,1960,5,2010,
5067,92,1990,3,2018,
4435,21,1961,5,2009,
1767,64,2010,5,2056,
214,166,2000,1,2009,
4296,75,1961,1,1970,
5494,175,1953,3,1982,
2659,129,1965,1,1975,
3830,15,2016,4,2052,
2773,15,1965,4,2003,
3081,15,2000,5,2042,3320
4305,180,1988,4,2022,
2183,20,1988,2,2004,
3321,88,1989,1,1998,
4375,64,2019,5,2069,
3200,15,1956,1,1965,
692,6,1990,2,2010,
3321,21,1975,1,1984,
220,17,1963,1,1972,
1868,87,1972,1,1982,
4329,13,1990,3,2016,
19305,15,1999,1,2008,
214,75,2014,1,2023,
751,15,1976,5,2017,
3320,15,1959,1,1967,
4296,75,1968,5,2016,
15814,7,1960,1,1970,
130,15,1952,4,1989,
2850,15,1981,4,2015,
4867,92,1970,2,1986,
35,13,1972,1,1981,1355
1813,17,1965,3,1995,
2350,17,1996,2,2013,
3378,75,2004,5,2049,
4737,13,1986,4,2018,
3589,70,1954,4,1987,3090
1882,15,1979,2,1999,
3029,15,1995,1,2003,
543,214,1999,2,2015,
595,13,1961,4,1998,
13088,75,1977,5,2022,
4740,64,1990,1,1999,
2660,74,1990,4,2029,
4608,15,1977,1,1986,
1316,59,1998,1,2008,
753,151,1957,3,1983,
3320,98,1998,3,2023,324
5651,15,1991,4,2026,
330,21,1970,3,1996,
1868,17,1961,2,1980,
5439,152,2013,1,2022,
4947,15,1970,4,2007,
4296,75,1952,2,1972,
805,15,1953,2,1971,2183
137,217,1990,2,2009,
5213,13,2002,3,2028,
2009,123,2013,3,2039,
4178,231,1960,5,2003,
4296,75,1960,4,2000,
4611,75,1997,4,2031,
751,17,1986,5,2032,
2009,87,1950,5,1992,
3321,27,1976,1,1985,
1758,75,2001,4,2033,
4305,180,1956,3,1986,
15999,15,1959,4,1996,
2547,13,2004,3,2032,
5265,103,1996,4,2032,
751,75,1978,2,1995,
2183,20,1967,1,1977,
692,6,2015,2,2033,
1680,21,1959,3,1988,
3200,150,1969,3,1995,
2009,88,1961,3,1986,
10741,64,1958,2,1976,
3320,15,2018,1,2026,
3052,15,1972,5,2021,
3290,75,1994,5,2039,4296
1758,15,1962,5,2002,
2297,15,1983,3,2011,
1767,75,1995,3,2024,
3320,88,2004,4,2040,
1758,64,1976,4,2010,3320
1758,15,1987,4,2020,
218,17,2010,3,2037,
220,15,2015,1,2024,
1758,64,1951,3,1979,
5461,15,1968,1,1978,
596,17,1964,3,1990,
5281,92,1974,3,2001,
1203,182,1958,5,2006,
3532,15,1968,5,2011,
794,90,1956,5,2002,
1492,116,1964,5,2014,
1767,15,1993,4,2031,
90,75,1997,5,2044,3090
3189,74,1987,5,2034,
11857,64,2017,3,2046,
5265,98,1971,5,2011,
2684,15,1973,3,2000,1797
751,75,1951,5,1997,2183
2200,15,1968,1,1977,
4867,15,2016,2,2034,
4611,13,1964,1,1973,24
2581,75,2004,4,2040,
151,59,2014,5,2055,3090
90,15,1979,1,1988,
1066,7,2013,1,2022,
5282,64,1952,1,1961,
4296,75,1957,2,1974,
2297,13,2002,3,2028,
2297,13,1995,5,2043,
4940,71,1976,4,2014,
2297,15,1959,3,1988,
2009,217,1953,4,1987,
5209,89,2019,4,2058,
1886,170,2008,2,2027,
3320,167,1989,1,1998,
24,166,1991,2,2010,
2297,13,1968,1,1977,
2297,13,2002,5,2047,
4349,15,2003,3,2032,
4255,13,1969,2,1988,
1767,17,2012,5,2052,
4611,13,1951,5,2001,
24,123,2005,2,2022,
596,218,1962,4,2001,
6557,13,1968,4,2000,2183
462,70,1958,1,1966,
3090,188,1999,5,2046,
2009,13,2014,1,2024,1797
1758,15,1969,2,1985,
4089,151,1990,3,2015,
2009,87,1985,4,2022,
2923,186,1994,5,2035,
1683,15,2019,5,2060,
2350,13,2006,2,2026,
4089,97,1951,4,1990,
5209,152,1952,1,1962,
2548,13,1987,1,1995,2009
1844,15,1954,3,1981,
1767,170,2020,1,2030,
4533,15,1950,5,1997,
2009,21,2016,3,2046,
2987,97,1989,4,2028,
1166,13,1992,2,2012,
3871,11,1966,4,2003,2009
15814,7,1994,3,2019,
2942,64,1994,2,2014,
214,75,2005,4,2044,
28,21,1981,5,2028,
1758,21,2005,5,2051,
5209,13,2019,1,2027,
794,75,1989,3,2017,24
753,149,2003,2,2021,
3392,170,2013,5,2054,
4951,75,2017,3,2043,
13899,17,1968,4,2006,
1758,15,1951,1,1959,
4329,15,1982,5,2028,
1666,92,2011,2,2031,
24,64,1954,3,1982,
4863,166,2000,3,2026,
5322,170,1951,5,1992,
2297,13,2017,1,2026,
241,7,1969,2,1988,
218,15,1997,3,2023,
2987,75,2017,1,2026,324
137,15,1971,4,2007,
4599,92,1961,3,1987,
4304,15,2012,1,2021,
2581,75,2016,5,2064,
879,20,1966,2,1986,
4296,75,1957,4,1991,5209
4867,15,2008,3,2032,
4533,15,1982,1,1991,
3329,152,2019,4,2053,
4248,75,1956,3,1985,5352
24,75,2010,4,2044,
4296,75,1959,4,1991,
3026,70,1953,1,1962,
2547,13,1984,1,1994,
3969,41,1959,1,1968,
2350,13,1980,1,1989,
3290,76,2008,2,2025,
2009,75,1974,1,1983,
4374,75,1972,5,2013,90
214,15,1999,3,2023,
3090,19,2002,3,2028,
596,19,2009,3,2035,
5265,92,2005,4,2037,
4026,75,1957,5,2006,
866,75,1976,5,2025,
4296,75,1979,2,1998,
1317,11,1953,1,1962,
13983,171,2007,2,2024,
2822,121,1959,1,1968,
2297,13,1951,1,1960,
130,13,1955,5,2003,
1156,7,1978,2,1995,
5265,122,1970,2,1989,
5265,20,1994,1,2004,
1767,64,1987,2,2007,
4305,122,1979,1,1987,
240,15,1953,4,1992,
596,123,1990,3,2014,
24,15,1983,3,2012,
2581,74,1988,4,2024,
4296,75,2006,5,2055,
3871,11,1970,2,1989,
5352,13,1960,1,1968,
4319,17,1995,3,2022,
5461,15,2001,3,2027,
14849,175,2004,3,2030,
214,166,1956,5,2002,
2660,21,1976,1,1985,
2548,13,1966,3,1991,
2297,13,2011,4,2044,
2548,13,2007,3,2031,
24,17,2019,3,2046,
2773,15,2002,3,2027,
1316,59,2012,5,2058,
5213,13,2020,2,2037,
1889,75,1952,1,1960,
3090,15,2001,3,2030,
751,17,1987,3,2014,
2660,75,1986,2,2004,
9082,218,1968,4,2004,
4296,75,1972,2,1989,
20976,74,1977,3,2003,
4374,93,2010,3,2037,
2988,103,1954,2,1971,
2773,15,1995,1,2005,
1758,21,1986,5,2034,
2684,15,1960,4,1997,
4296,75,1983,3,2008,
214,15,1959,4,1997,
4797,147,2009,2,2028,3090
5209,175,2010,2,2028,
1868,87,2020,5,2061,
1758,70,2001,2,2020,
2660,75,1977,1,1986,
4089,59,1977,1,1985,
5265,87,1979,3,2007,4296
879,5,1994,3,2022,
4296,75,1988,3,2012,
4296,75,1964,2,1984,
2193,13,1995,5,2043,
1539,7,1996,2,2012,
4981,175,2005,2,2024,
5038,17,1988,2,2006,
3052,15,1962,4,2000,
751,15,1993,4,2033,
596,12,1983,5,2028,
4319,123,1978,4,2014,
2548,13,1984,1,1992,
2822,15,1964,5,2011,
1882,75,1978,2,1997,324
3163,101,2013,5,2059,
5265,88,2002,5,2043,
162,15,2020,4,2059,
1946,7,2007,1,2016,
3871,15,1984,3,2014,
4611,15,1991,4,2028,
1006,13,2019,1,2027,
692,147,1991,2,2008,
5179,70,1951,2,1969,
4375,64,2010,3,2036,
5209,76,2003,5,2044,324
5281,88,2017,1,2025,2009
1156,171,2019,5,2068,
4162,64,2005,2,2021,
3090,217,1965,3,1991,
4311,21,1984,1,1993,
20976,123,1972,2,1991,
2009,87,1951,1,1959,
4867,97,1974,4,2007,24
4311,15,1987,4,2021,
2200,15,1980,1,1989,
4296,75,1993,3,2020,324
4599,121,1955,4,1989,
1758,64,1975,3,2000,
24,151,1982,1,1990,
4374,74,1987,5,2030,
4259,15,2015,5,2061,
4319,74,1998,2,2015,
4608,17,1995,3,2019,
4454,72,1983,5,2026,
2183,98,1963,2,1983,
5288,21,1980,3,2009,324
10741,64,1987,4,2020,
2991,13,2012,1,2021,24
2297,15,2009,4,2043,
2297,13,1974,5,2015,
24,122,2011,5,2059,
15814,7,2011,3,2037,
5288,87,1984,1,1993,
4533,95,1959,1,1968,
10758,13,1954,4,1992,
4951,75,2007,3,2033,
1156,171,1981,1,1990,3320
5213,13,1962,2,1982,
2420,230,1994,1,2003,
214,75,1955,1,1964,
3251,7,1980,1,1988,
3233,7,1978,5,2026,
4687,13,1985,4,2020,
4296,75,2016,1,2025,
2581,74,2015,5,2056,
4599,75,1962,4,1998,
4940,94,1951,2,1969,
2297,15,1953,2,1969,
2923,186,1967,1,1976,
4533,94,2007,2,2023,5352
28,17,2020,3,2047,
1882,75,2018,5,2059,
2822,121,1977,1,1985,
4296,75,1984,1,1993,324
4869,13,1990,1,1998,
10758,13,1967,5,2012,
4296,75,1973,3,1998,
218,98,1974,2,1992,
324,95,1980,3,2006,
83,123,1971,5,2011,
1317,11,1983,2,2001,
2822,123,1987,5,2033,
5209,75,1986,4,2025,
3325,41,1999,4,2035,
4611,75,1975,1,1984,
3029,170,1962,2,1980,
5347,82,1994,2,2011,
5179,12,2011,2,2029,
10650,64,2012,2,2031,
1767,75,1976,5,2025,
324,92,1980,1,1989,
4296,75,1972,4,2007,
5213,15,2000,3,2025,
4936,15,1982,5,2024,
8745,103,1971,4,2010,
3210,71,1992,5,2041,
2604,170,1959,1,1969,
2439,15,1998,5,2039,
4292,75,2000,2,2018,
2222,15,2003,3,2029,
5213,15,1954,4,1990,
4304,13,2000,2,2019,
4533,15,2008,3,2034,
2009,122,1991,4,2029,2009
2009,122,1981,2,1997,
2421,171,1952,2,1971,
2009,13,1960,1,1970,
3320,17,1981,5,2030,
4374,75,1998,1,2008,
11811,15,2007,5,2050,
3052,15,2006,3,2032,90
5209,94,1981,3,2007,
5213,13,1961,5,2001,
2942,75,2007,2,2023,
13899,7,1973,1,1982,
330,92,2003,4,2041,5352
5288,7,1963,2,1981,
24,97,1951,4,1988,
866,75,1982,5,2031,
794,75,1997,3,2024,
1758,75,1976,5,2019,
3126,92,1990,3,2018,
1626,114,1973,1,1982,
2222,98,2008,5,2053,4296
1758,15,1951,5,1998,
576,15,2012,3,2039,
5461,15,1995,5,2035,
2581,75,2017,2,2037,
2222,29,1962,3,1987,1355
4599,64,1972,1,1980,
5484,64,1966,5,2010,
2548,13,1953,3,1979,
5439,150,2012,2,2031,
2684,13,1962,5,2008,1797
1925,13,1981,4,2014,
2200,15,1986,3,2015,
4296,75,1981,5,2023,
4611,15,1982,5,2029,
4608,15,2020,3,2045,
1868,17,2019,3,2047,
1758,13,2002,4,2035,
4599,121,1966,2,1982,
3776,15,2007,3,2033,
2439,15,2009,5,2054,
321,166,1977,1,1986,2183
330,152,1975,2,1991,
2988,166,1968,1,1977,1355
214,75,1961,1,1970,2009
477,6,1950,4,1985,
5209,122,1990,3,2014,5352
524,147,1973,2,1991,
4464,15,2008,4,2047,
1758,64,1988,4,2026,
2850,15,1974,1,1983,
2009,218,1983,5,2026,
5309,17,2000,1,2009,
1531,13,2003,2,2021,
3200,15,1968,1,1978,
16825,70,1951,1,1961,
1338,13,2015,5,2065,
5213,15,1990,1,1999,
5156,15,1960,5,2002,
1882,75,1970,3,1998,
1767,75,1983,2,2002,
3320,152,1971,5,2013,
324,101,1977,1,1986,
4319,123,1995,2,2011,2822
5265,75,1968,1,1976,
5234,15,1991,2,2009,
2682,166,1964,4,1999,
4296,75,1962,2,1979,
4296,75,1974,3,1999,
2009,13,1998,3,2027,
2009,217,1950,1,1959,
2297,13,1995,1,2004,
751,13,1983,2,2002,4296
2547,17,2017,4,2054,
5213,15,1984,2,2002,
4940,75,1997,3,2021,
4867,13,1991,2,2008,
137,15,1957,2,1976,24
1758,13,1995,5,2043,
2581,74,1989,3,2013,
2575,15,1973,3,1998,
324,72,2006,4,2040,
18553,15,1990,1,2000,
2009,123,1979,3,2004,
1469,121,2003,5,2045,
2150,75,2011,4,2044,
5439,149,1974,5,2023,
1767,64,2019,3,2045,
4296,75,2019,1,2029,
130,98,1982,5,2032,
3378,75,1970,3,1996,3320
4611,64,1985,5,2035,
5213,13,1953,5,1993,
4356,75,2004,5,2050,
2297,15,2000,5,2041,
5234,15,2004,3,2031,
2604,170,1960,2,1980,
1889,74,1962,5,2002,
4319,123,1982,4,2018,3090
130,13,1990,4,2028,
3871,94,1964,1,1972,
1156,7,1973,1,1981,
137,98,2010,2,2029,
4374,74,1956,1,1965,
4687,15,1977,1,1986,
218,15,1965,5,2008,
2822,15,1966,3,1993,
1767,15,2007,3,2033,
5484,64,2005,3,2030,
3290,76,2018,2,2035,
4951,75,2007,2,2026,
2638,19,1994,2,2011,
2143,75,2002,2,2018,90
4296,75,1955,4,1988,1797
2990,71,2015,2,2034,
218,122,1963,3,1993,5209
2297,13,1963,4,2003,
2350,17,1971,1,1981,
4870,73,1974,4,2009,
5461,15,1999,2,2018,
2822,123,1995,3,2020,5352
4305,177,1995,1,2005,
137,217,2018,1,2028,
2660,75,1986,4,2026,
24,182,1983,4,2018,2183
2193,13,1985,5,2029,
24,15,2008,4,2043,
324,64,1961,1,1971,
6557,13,1966,1,1975,2822
4599,75,1969,1,1979,
866,15,2005,1,2013,
2548,13,1990,5,2040,
2520,75,2013,3,2038,
3778,74,2013,2,2030,
2193,13,2015,3,2042,
3163,20,2012,3,2040,
5209,94,1978,3,2004,
5484,64,2012,1,2020,
1683,15,1957,1,1965,
5234,15,1965,4,2000,
4296,75,1953,3,1982,
2009,87,1959,1,1967,
3926,75,1975,3,2002,
5325,13,1984,3,2013,
5265,215,1955,5,2001,
3764,186,1989,2,2006,2009
4559,21,2001,3,2031,
1882,75,1968,3,1996,
491,186,1991,1,2001,
1539,123,1961,4,1995,
4464,75,1955,3,1985,
4533,15,1976,2,1992,
1868,90,1963,1,1973,5209
4329,13,2002,4,2038,
4867,92,1997,1,2006,
2297,13,2009,4,2046,2009
137,13,1957,2,1973,
1886,170,1977,3,2001,
13983,171,2008,5,2055,
3090,94,1960,2,1979,
3732,7,1984,4,2021,
4608,13,1970,4,2008,
596,188,2016,4,2052,
2660,75,2015,5,2061,
4611,13,2016,1,2026,
4951,15,1952,1,1961,
5213,15,1973,2,1992,
1683,15,2017,2,2034,
2468,13,1964,4,2004,
199,15,1961,4,1998,
3090,94,1998,2,2014,
218,122,1975,2,1995,
5484,64,1965,4,1998,
214,15,1993,2,2012,
24,15,2000,1,2008,2009
18944,215,1968,2,1985,
4374,74,2012,2,2029,
24,167,1966,2,1985,
1758,15,2014,1,2023,
5352,15,1953,1,1963,
225,27,2014,4,2048,
4869,20,1994,3,2023,
15837,123,1983,3,2008,
3968,5,2012,1,2020,
1422,7,1995,2,2015,
690,170,1967,2,1986,
328,152,1978,5,2024,
2822,123,1970,3,1997,
4951,75,1957,2,1973,
866,75,1979,5,2021,
751,15,1971,2,1988,
5360,186,1950,3,1976,
130,15,1954,5,2001,
2297,15,2011,5,2059,
3321,21,2017,2,2035,
4296,75,1976,3,2002,
3179,15,2009,5,2055,
2520,7,1952,3,1976,
3320,122,1992,5,2038,
4311,21,2001,1,2010,
16508,15,2005,4,2040,24
24,87,1967,4,2005,
24,64,2018,2,2038,
866,75,1978,4,2014,
5439,149,1968,2,1987,
24,75,1969,5,2009,
3321,152,1995,3,2019,
33,229,1969,2,1986,
24,64,1961,3,1991,
220,17,1971,4,2011,
5325,15,1996,5,2038,
644,64,1998,1,2007,
4349,20,1994,4,2030,
2297,13,1985,3,2010,
2150,75,1990,4,2023,
214,17,1958,4,1994,
13983,7,2015,5,2059,4296
543,214,1999,5,2043,
19582,13,2013,2,2031,
4611,19,1992,1,2001,4296
13983,7,1963,2,1979,
4951,75,1965,2,1983,
1758,15,1967,5,2010,
4951,15,1977,5,2026,
1925,13,1963,2,1982,
3325,72,1991,4,2025,
5265,94,1976,2,1993,
2822,123,1998,1,2006,
21317,121,1991,2,2008,
2264,15,1974,3,2002,
3618,70,1974,4,2010,
5265,98,2001,4,2038,
18825,186,1963,1,1971,
24,151,1993,3,2023,
683,5,2020,5,2068,
1299,92,1981,3,2011,
1006,15,1955,1,1964,
4296,75,2020,3,2046,
596,217,1987,1,1996,
5213,13,1961,4,1993,
3163,76,2012,3,2037,
2439,15,1955,5,1996,
3290,75,1965,3,1989,3090
218,98,1965,5,2014,
753,149,1986,1,1994,
2850,15,1969,4,2005,2009
1156,171,1972,4,2006,
5209,75,1954,2,1970,
4296,75,1970,5,2019,
18228,50,2006,5,2050,
16262,143,1993,4,2025,
18732,76,2001,1,2011,
1608,4,1976,2,1996,
2987,21,1957,4,1993,
24,167,2019,1,2028,
5265,75,1962,5,2006,
1355,71,1969,1,1978,
4951,13,1999,3,2028,
2439,15,1974,3,2002,
1767,13,1977,4,2014,
218,13,1954,5,1998,
3210,171,2014,1,2023,
4259,15,2013,1,2022,
2638,17,1988,1,1997,
692,6,1980,2,1998,
2150,75,1976,4,2010,5352
4349,27,2004,2,2022,
2942,13,1959,5,2005,1797
4296,75,1956,5,2004,
18828,246,2015,4,2054,
1936,39,2001,1,2010,
2350,82,2001,1,2010,
4611,13,1957,5,2002,
1767,74,2017,1,2026,
1441,15,2006,1,2014,
16508,15,2008,1,2017,2183
2468,13,2002,1,2011,
137,167,1967,5,2010,
596,217,1960,5,2008,2009
24,94,1988,5,2035,
2822,15,1954,2,1971,
6557,15,1987,4,2023,
5265,13,1987,3,2015,
5352,15,1992,2,2010,
1156,4,1994,1,2002,
4248,75,2002,4,2039,
4296,75,1983,1,1992,
576,15,1968,5,2010,
2297,13,2001,3,2026,
4951,17,1957,5,2004,
1767,17,1952,3,1979,
24,182,2013,4,2051,
20976,74,1975,4,2007,
3741,152,2009,4,2046,
3588,64,1957,2,1975,
5479,92,1958,5,2000,
24,90,1994,1,2003,
4248,20,2002,2,2019,
4162,64,1993,5,2038,1797
3258,15,1990,2,2009,5352
569,75,1979,2,1998,
4319,123,1983,4,2020,
4319,113,1953,2,1969,
1006,90,1953,4,1992,
5097,7,2002,2,2019,
9541,170,1985,4,2018,
3321,152,1990,1,1999,
4869,182,2012,3,2039,
569,75,1984,5,2029,
1790,75,2020,2,2038,
5265,15,1980,3,2009,
2183,34,2011,3,2038,
3811,214,1973,1,1983,
3830,15,1981,4,2016,
2350,13,1956,5,2001,
2923,186,1995,2,2014,
4533,15,2008,1,2018,
19305,15,1963,1,1972,1355
2548,13,1957,3,1986,
576,15,1994,5,2037,
751,103,1955,4,1989,
2222,15,2012,3,2039,
1316,59,1987,5,2034,
4608,13,2017,4,2055,
3392,15,1966,4,1999,
3000,98,1970,4,2003,
3320,29,1989,4,2024,
1073,170,2013,2,2031,
2822,75,2012,5,2060,
5282,64,1966,2,1983,
10121,64,1996,3,2026,
137,17,1969,4,2006,
9809,75,1991,5,2041,
32,20,1955,1,1965,
3637,87,1984,5,2031,
1889,75,2018,3,2046,
3251,7,1970,1,1979,3090
3710,147,1996,3,2022,
246,175,2018,5,2065,
4533,166,2019,3,2049,
10741,64,2002,5,2048,
5325,15,1961,3,1989,
1203,54,1992,4,2028,
4319,122,1978,5,2024,3090
5213,13,1995,2,2014,
3029,15,1972,5,2012,
4089,29,1962,4,1999,
3320,152,1989,5,2039,
3532,17,1993,3,2018,
4687,15,1960,5,2002,
2993,15,1950,3,1977,
4611,75,2002,3,2030,
151,59,2008,5,2052,
4296,75,2001,2,2017,
2183,98,2014,1,2022,5209
5265,123,2007,4,2041,
4296,75,1968,2,1985,
3081,15,1969,4,2002,90
214,15,1997,5,2042,
4248,75,1989,1,1998,
2009,34,2015,1,2024,
5213,13,2000,3,2029,
333,74,1973,2,1992,
4599,75,1974,1,1984,90
2468,15,1955,2,1971,
4329,15,2009,5,2056,
1758,64,1957,1,1966,
751,75,2013,5,2057,
324,72,2004,5,2045,
3051,64,1952,2,1972,4296
4936,15,1987,1,1995,
2520,75,1966,1,1975,
4611,15,2005,4,2044,
3081,15,1995,3,2022,
1548,5,1997,4,2032,
242,15,2003,2,2022,
2297,13,1969,5,2014,
2439,15,2012,3,2038,
2526,7,1957,3,1982,
881,13,1982,5,2028,
137,87,1995,2,2012,
2988,97,1956,2,1975,
28,218,1952,3,1979,
4609,64,1999,1,2008,2822
2942,13,1996,5,2044,
4296,75,2015,5,2064,
3830,96,1965,5,2015,
4599,75,1993,1,2002,
2604,170,1974,3,1998,
5265,182,1966,1,1975,
5434,75,1989,3,2015,
1203,122,1983,3,2007,
4319,17,2014,2,2033,
137,98,1982,2,1999,
4687,13,2002,5,2045,
4374,74,1978,1,1986,
2604,170,1966,3,1994,5209
9082,218,1969,5,2016,5352
1790,75,2013,2,2031,
2297,13,1993,2,2011,
3776,152,1970,4,2003,
2009,13,1971,5,2018,
24,13,1972,4,2009,
17885,15,1987,2,2006,
9541,152,1966,5,2010,
3463,13,1995,5,2042,
5265,17,1977,5,2027,
4374,75,1978,5,2022,
3342,15,1965,4,2003,
2548,13,1962,3,1989,
137,188,1965,2,1984,
3926,75,2015,1,2025,
2350,21,1993,1,2001,
4091,21,1962,4,1995,
596,17,2016,2,2034,
1758,15,1977,3,2005,324
2009,217,1980,2,1999,
2439,15,1981,1,1990,
866,75,1961,2,1979,
3737,70,1972,3,2000,
1767,75,1965,5,2015,
1767,75,2018,5,2061,
5209,231,1997,1,2007,
805,15,1989,2,2007,
2297,13,1957,3,1985,
4947,15,1965,4,2000,
3679,166,1964,2,1981,3320
2297,15,1969,5,2016,
4547,70,2002,3,2030,
5347,97,1965,2,1984,
1355,75,1990,3,2017,
5325,13,2019,2,2035,
2009,167,1977,4,2012,
2850,15,1950,4,1987,
751,75,2000,1,2009,
5209,75,1961,1,1971,4296
4522,41,1983,1,1992,
1729,7,2005,4,2045,
3320,15,1988,2,2004,
5067,71,1987,5,2035,
10741,64,2005,4,2041,
13200,166,2005,4,2038,
4026,75,1992,5,2033,
683,5,1983,4,2017,
5234,15,1996,5,2045,
130,13,1959,5,2001,
1758,64,1978,1,1986,
4296,75,2003,5,2052,
2009,19,2001,1,2010,
2575,15,1987,2,2005,
218,103,1983,1,1991,
9764,15,1997,1,2007,
2350,6,2003,1,2013,
1006,15,1997,4,2029,
4951,75,2004,3,2029,3320
5461,15,1953,4,1987,
3126,170,1969,2,1986,
1758,75,1977,1,1985,
5265,87,2018,4,2051,
2822,15,1960,3,1988,
5098,64,2019,1,2028,
2297,13,1972,4,2005,
5325,15,1993,4,2033,
11763,64,2017,4,2053,
