duration,planeID,mechanicID,date
59,7681,4,2004-04-29
14,2980,107,1970-08-26
29,5670,18,1973-12-09
13,13976,341,1974-08-18
70,6930,181,1993-04-24
14,6364,302,1966-01-26
76,9018,340,1981-05-24
27,11183,38,1994-02-27
57,10758,69,1965-01-11
66,5440,63,1972-03-09
57,5602,327,1990-09-22
55,12511,134,1962-03-20
29,13593,254,1975-04-25
34,13637,207,2009-12-19
54,8861,32,2010-05-17
34,14938,315,1975-12-24
60,725,112,1985-06-29
11,209,274,1992-12-20
70,14628,103,1982-01-20
77,4995,275,1996-08-05
26,13884,247,1967-08-21
26,5109,82,2011-10-21
41,15878,3,1995-09-28
5,4553,352,2013-11-26
47,741,299,1987-03-17
77,9253,147,1974-10-28
9,998,305,1976-01-21
12,3387,257,1981-07-30
28,5889,202,1983-04-28
12,7995,110,1992-09-08
35,2457,68,1982-09-06
67,3460,342,1963-04-21
33,2523,27,1966-06-22
35,12936,337,1987-03-11
55,7426,71,2015-12-22
76,3684,293,1991-01-31
45,16523,129,2012-06-14
80,8334,154,1996-11-12
48,4924,338,1994-05-18
3,4139,346,1963-11-24
21,5202,371,1961-03-19
16,3322,320,2005-09-28
19,3475,131,1961-02-01
23,14495,195,2006-08-12
25,3556,235,2013-08-21
18,13798,65,1974-11-11
42,11156,94,1979-11-22
21,719,22,1987-05-01
49,10163,313,1973-05-05
42,4064,184,2002-05-04
29,2514,14,2015-11-20
76,12306,332,2008-11-30
32,13891,303,1995-10-31
12,9507,356,1993-03-25
12,11072,70,1991-03-02
20,2492,186,2004-09-09
34,5887,141,2007-03-18
64,13299,237,1996-11-19
78,16796,316,1999-08-15
70,14183,30,2002-04-23
22,11541,358,1961-03-15
76,6473,145,2006-04-17
21,6552,262,1994-04-16
45,5303,68,2016-10-21
22,2275,345,1984-06-04
59,11157,210,1991-02-17
75,13194,31,2014-03-29
46,9991,173,1971-07-26
42,10059,182,1993-05-10
2,3969,57,2009-07-03
75,658,206,1968-06-15
60,15261,92,1981-05-16
4,8194,360,1983-03-19
52,703,223,2012-06-11
60,908,221,1982-08-05
74,5812,179,2008-08-23
19,7609,247,1991-07-21
4,8769,60,2002-04-21
16,5099,251,1974-11-25
11,7811,89,2019-01-19
64,5428,141,1999-10-21
62,6821,47,1984-12-12
62,950,173,1978-01-12
3,14968,250,2017-07-22
41,8745,284,1994-12-02
61,4245,101,1989-11-19
37,15672,85,2015-09-01
32,2513,181,1975-03-25
35,1281,29,2014-07-07
51,666,318,2000-03-16
51,13421,211,1990-04-24
63,15218,261,2002-06-08
17,2389,168,2009-11-27
61,6585,114,1981-08-08
44,15431,148,1985-06-21
46,2518,257,1976-11-08
69,9368,36,1981-06-11
37,15880,118,1987-12-28
37,1139,355,2018-06-29
16,1452,155,1961-10-10
70,6345,346,1971-04-25
42,4216,253,1977-04-25
26,15121,221,1966-03-25
44,15417,47,1996-09-05
8,11219,339,1992-01-02
48,15903,75,1989-05-30
40,13274,228,1996-03-25
3,11850,317,2007-10-08
62,10117,6,1970-10-30
41,13381,287,1982-02-12
67,8826,128,2003-05-23
21,4171,151,1998-08-29
74,8800,40,1998-12-19
46,2931,120,1966-01-27
7,10739,341,1997-02-02
19,15001,219,1966-06-20
15,11703,105,2011-07-19
11,8463,11,2009-01-18
28,434,356,2020-06-19
10,7582,18,1978-12-19
48,14280,303,1986-11-10
23,12221,239,2019-10-24
45,8665,206,1967-09-25
71,9338,75,2001-02-10
21,16250,55,2018-04-12
37,7418,216,1971-12-13
76,12222,168,1962-01-17
24,10750,168,1985-03-22
70,11175,21,2007-09-19
80,400,105,1998-04-18
52,6336,6,1991-05-17
34,2814,312,1979-01-24
76,5013,245,1979-04-01
57,4668,48,1965-12-02
72,6226,59,2008-02-24
8,16344,28,2015-04-23
20,14580,154,1991-11-16
17,6023,305,1966-06-02
15,16360,263,2007-03-16
14,14171,279,1971-04-07
44,11647,251,1976-08-25
52,14974,32,1982-06-14
22,5873,311,1981-07-29
66,2346,325,1983-04-19
62,2511,312,2020-12-31
58,13201,132,2014-07-04
8,6207,250,2012-05-23
50,6331,150,1981-06-15
45,14274,58,2004-01-31
67,2791,141,1997-02-05
41,5751,307,2010-08-09
64,15199,237,1983-11-04
27,4881,239,1996-06-29
29,6599,71,1970-02-12
73,2727,42,1981-01-18
35,4334,304,1964-02-08
38,7467,87,1988-06-25
75,5194,231,2018-10-27
16,3847,28,1966-10-17
58,3884,336,1999-03-29
80,10842,201,1991-07-12
7,12489,145,2001-01-04
3,13076,207,2015-03-07
43,261,13,2016-02-12
3,9657,207,1968-07-22
37,1913,72,1994-06-03
15,6927,225,1996-06-22
48,8682,80,1992-09-23
54,7336,267,2014-02-21
53,9712,75,1976-09-11
58,1247,186,2015-05-22
8,12815,131,2003-05-08
28,14505,313,1990-02-15
48,15424,82,1999-01-12
80,464,53,2006-07-01
80,13495,81,2018-12-20
2,2897,360,1968-10-15
52,5674,151,1970-02-18
75,13613,264,1979-05-24
44,3104,112,2010-05-23
38,11528,336,2013-10-18
54,12926,319,2004-03-08
65,10942,328,1997-12-13
49,7649,347,1967-05-06
69,581,223,1982-04-18
41,13325,147,1984-09-19
62,14821,94,2017-07-02
13,12636,112,1978-06-27
51,8352,206,2007-05-07
67,6213,331,1971-06-07
29,15389,2,2000-08-30
18,2440,312,1969-08-26
47,5797,236,1965-09-21
8,647,204,1999-02-08
35,15997,255,1992-08-17
34,7558,94,1975-12-13
12,12323,147,2015-03-11
73,11793,10,1981-04-01
65,10894,280,1976-01-11
39,9756,359,2002-11-16
61,354,102,1963-06-14
59,7179,128,1962-02-14
19,11385,76,1964-05-18
69,10992,144,1964-09-10
36,4551,273,1977-02-20
76,2525,337,2013-07-19
77,9247,311,1983-03-28
29,7416,352,2002-07-08
9,14041,234,1998-01-12
57,3693,70,2007-06-02
17,15995,115,1964-01-29
22,8057,332,1995-12-17
48,6622,227,1970-10-06
14,6973,232,1995-07-16
32,4996,266,1975-05-24
76,9877,175,1995-02-11
68,11754,17,1991-07-20
51,2320,222,1997-08-21
45,14493,151,1996-08-04
50,5328,128,1985-07-09
20,16118,349,1999-12-09
64,8316,257,2012-08-15
3,10805,59,1992-07-21
30,13282,161,1963-01-30
44,11131,14,1988-03-06
66,8044,307,1968-01-10
60,15167,204,2016-10-03
36,6690,175,1977-03-12
23,6428,127,2011-08-17
57,1487,81,1965-02-16
45,10195,331,2014-11-05
26,13158,235,1974-07-22
67,8638,185,1981-07-26
24,7701,165,1965-02-27
47,190,271,2018-11-07
4,2335,55,2016-10-09
4,14712,2,1987-05-18
26,3149,218,1985-10-28
66,442,110,2011-07-11
46,13860,281,1980-07-22
22,3859,85,1976-11-26
66,1239,219,1994-12-15
49,14139,97,1974-11-18
55,3217,216,2020-08-11
79,11593,264,1972-06-13
62,2723,243,2016-04-28
19,918,145,2014-11-11
70,3891,23,1975-04-15
16,11029,316,2011-07-24
64,7445,286,1991-07-15
16,9583,173,2000-12-22
50,14693,5,1994-12-14
29,5276,45,1961-11-26
68,5917,297,1994-08-03
53,1707,257,1981-02-28
55,2345,140,1998-07-01
32,14523,304,2007-05-09
68,1060,175,1965-03-25
27,7543,347,1990-09-07
15,6832,86,2013-08-03
15,9011,89,1967-08-16
80,3898,349,2013-08-30
3,11493,328,2013-08-08
55,13849,4,1964-01-04
62,6181,332,2010-08-30
55,1963,308,2017-03-27
47,12676,173,1995-04-10
31,11504,278,2014-12-15
15,4444,220,2013-10-06
18,3286,282,1980-12-18
72,12912,13,2010-12-18
36,554,255,2015-12-02
38,10608,181,1998-03-09
79,14656,122,1999-11-27
54,6791,137,1978-01-18
20,188,332,1966-10-09
70,2100,17,2013-03-22
7,8581,362,1967-11-04
3,8528,178,2010-02-15
33,4097,39,1978-06-28
40,4926,259,2007-01-04
52,830,70,1989-01-01
32,5398,133,2010-04-23
25,10341,321,1985-05-13
71,3264,46,1996-08-26
62,10716,259,2004-08-31
11,6935,107,1967-06-29
57,8373,314,1993-02-19
9,14251,298,1995-05-11
52,5598,42,1987-06-11
10,8000,350,1976-02-14
3,1958,17,1976-04-06
2,8590,319,1963-06-27
58,16552,58,1997-05-22
11,11914,157,1962-12-16
14,8186,109,1987-02-06
3,5984,355,2004-12-29
4,8701,47,2006-09-28
15,5910,150,1983-04-04
26,2396,69,2015-12-15
39,2151,254,2004-05-24
79,8803,129,1983-12-13
69,15901,372,1996-07-14
18,8219,9,1976-05-09
76,12541,192,2019-08-23
39,16635,229,1966-04-10
26,12371,287,1962-04-30
76,9955,7,1998-06-16
16,16352,181,1994-09-10
57,10561,243,2002-04-11
4,15502,76,1994-01-12
79,14298,314,1981-09-05
62,672,194,1988-08-26
29,1327,213,1970-10-31
19,8864,314,1985-05-10
54,2208,210,1984-08-24
62,3110,202,1963-03-10
13,7440,312,2002-07-10
40,12135,9,2011-01-09
36,9079,58,1980-11-11
47,568,23,1992-07-11
46,10516,92,1972-01-06
15,4339,369,1998-05-27
70,7388,57,1989-03-23
45,9407,157,2003-08-21
61,6250,42,1988-07-16
40,2355,140,1992-05-13
64,2282,262,2012-11-11
56,11704,273,1987-03-08
39,12196,189,1965-06-26
63,6951,372,1973-06-09
30,5715,70,2018-01-19
80,11184,209,2009-01-26
37,8629,259,1977-08-21
72,7418,311,1992-03-06
14,9929,44,1982-08-27
40,393,166,1989-06-02
54,1285,62,1979-12-13
54,8147,65,1962-03-16
35,6017,80,2001-06-29
22,10410,193,2015-10-11
6,15479,136,1964-07-09
80,7685,27,1982-05-21
23,13332,106,1978-09-23
75,13820,97,1993-02-15
19,15826,123,2005-07-24
14,13979,319,1981-01-26
70,7270,167,1966-07-15
45,8902,58,1999-11-02
45,7252,190,2011-09-24
53,382,350,2014-03-27
17,6274,120,2001-12-08
78,12445,269,1964-05-29
28,12108,111,1970-06-21
27,8771,311,1992-03-13
16,14319,296,1978-06-12
9,13928,196,1967-12-13
4,5007,314,1995-02-07
4,2180,10,2007-10-23
21,11820,343,1999-09-02
27,16661,121,1986-05-27
55,16681,181,2020-11-13
39,14127,64,2000-04-13
37,3184,37,1988-05-12
55,1212,189,2017-03-26
32,12474,208,1977-09-27
5,3012,220,1990-03-19
76,14941,109,1987-09-11
58,6781,144,1996-08-20
42,11402,50,1997-08-24
2,6027,14,1986-03-25
21,16695,235,2011-10-04
45,8886,45,1973-01-11
68,12930,112,2007-09-03
33,16735,203,1965-05-13
32,10667,316,2008-01-14
71,5045,271,2020-10-24
26,548,259,1966-03-31
42,1933,345,1976-03-12
28,9267,342,2001-01-24
61,986,51,1967-04-26
44,7211,288,1990-06-20
42,4540,23,1998-12-02
44,3047,307,2001-10-31
22,5205,259,1964-02-05
43,12518,281,2004-04-06
30,6221,221,1969-02-20
80,643,236,1965-06-10
11,7189,31,2006-08-07
10,6629,368,1981-04-15
51,16495,115,1977-02-01
17,12844,17,2019-02-24
55,1103,94,1991-03-16
5,5729,70,1990-03-09
64,1481,372,2016-10-22
56,16394,340,1982-07-01
50,9991,164,2018-04-26
31,13795,232,2013-02-16
67,15867,223,1983-03-10
13,5272,344,1989-06-19
24,11764,11,1974-02-19
80,1171,211,1971-07-23
63,11863,147,2019-08-23
56,14439,282,1983-11-03
69,6170,17,1982-11-15
24,14211,213,2008-07-18
45,508,169,2011-08-14
23,13248,286,1997-01-22
70,8581,258,2017-12-24
42,4634,148,1995-12-24
47,7609,270,1977-05-16
42,6639,153,1987-02-20
9,320,370,1989-03-28
10,12483,86,1977-10-21
33,12919,160,2010-01-30
30,5365,81,1969-08-26
63,4287,331,1988-04-13
33,14066,343,1989-02-18
65,1095,31,1978-07-12
40,9236,55,2003-04-10
10,11629,314,1992-05-08
70,2404,338,2016-10-07
44,15167,110,2009-06-21
5,13012,52,1980-03-18
38,2823,26,1992-02-18
73,10476,107,1980-03-04
69,7871,117,1966-02-22
49,10109,2,1987-06-10
49,15699,215,1991-05-03
37,4445,32,2016-03-12
16,7135,14,1962-03-29
4,7098,16,1980-09-29
66,7455,206,2005-02-10
3,4137,364,2012-02-04
16,6636,78,1994-08-27
15,943,207,2014-02-23
8,3488,2,1999-12-24
16,5533,348,1967-04-11
71,7930,12,1976-11-06
37,13868,121,1965-09-08
58,1109,279,2011-10-05
43,13614,123,1993-02-14
60,6478,151,1972-12-20
31,12091,186,1970-07-16
17,9169,45,1975-09-09
80,13790,160,2016-04-30
20,16149,51,1990-08-14
13,6618,290,1976-12-06
80,13984,163,2020-01-14
7,4348,243,2001-02-26
11,15375,71,1991-03-14
38,9384,137,1993-09-05
80,4145,6,2012-08-07
47,9777,179,1995-05-12
27,16431,39,1997-12-04
51,7332,141,1990-10-30
10,8496,141,2009-11-13
78,12907,287,2010-09-07
12,9361,283,1990-01-19
46,14581,25,1962-12-29
29,12632,147,1987-12-21
14,12365,42,2014-12-02
79,12780,259,2015-04-20
18,3495,202,1968-01-18
8,6307,246,2000-11-09
40,14250,195,1965-08-27
45,10894,232,1967-01-18
44,4754,141,1986-12-27
25,7197,337,1961-09-07
40,15714,315,1986-11-28
29,6897,203,2020-11-17
49,12101,265,1976-06-23
43,11492,121,1986-06-24
6,2277,78,1997-04-13
51,9254,246,1987-09-29
20,8060,110,1972-08-28
11,16099,367,1977-10-26
65,8595,303,2010-07-27
71,16053,33,1985-06-08
53,7656,243,2007-11-16
23,14657,75,1989-09-13
48,7089,105,1967-12-31
4,1053,347,1971-02-20
73,13837,220,1965-05-25
67,10142,332,1998-04-05
54,12350,336,2015-01-28
67,4213,184,1970-04-11
45,12934,108,2019-05-19
8,4362,272,2012-07-20
74,2169,350,1997-06-26
54,15995,264,2000-06-09
37,7321,147,1989-11-29
47,2073,345,1962-07-06
9,6627,249,2007-04-06
56,2592,44,2015-02-04
5,1185,222,2020-08-23
74,10293,130,2007-10-03
35,3696,193,1972-11-18
77,12912,270,2020-08-30
25,12110,180,1983-08-26
54,1198,254,1999-07-27
31,4848,170,1963-09-22
34,3182,322,1976-02-07
50,3590,368,2020-09-27
49,2403,365,1988-08-22
16,2637,150,2014-01-07
75,3217,73,1985-11-11
68,2324,366,2001-10-02
13,12311,349,1993-06-26
13,3530,133,2010-07-16
22,15830,184,2007-05-04
10,11210,88,1969-11-20
16,2436,245,2006-08-09
5,2909,12,1987-12-06
12,8607,318,1981-12-02
60,15213,239,1977-03-27
44,14580,306,1994-03-10
73,12419,146,1967-07-01
27,14668,349,2003-03-03
64,5022,149,2004-02-01
64,9853,46,1975-02-26
61,8075,270,1999-06-24
22,3883,116,1980-08-17
79,16326,89,2017-08-12
51,1332,341,1982-01-27
63,6654,240,1981-07-06
79,8791,343,1999-10-22
78,16279,202,1966-10-31
17,13046,72,1987-05-22
72,9606,112,1963-11-08
66,3973,365,2005-01-05
45,4345,172,2001-09-24
34,3770,258,2011-01-29
36,2593,315,1992-05-17
7,12943,108,2006-12-01
61,3267,128,2006-06-02
26,632,21,1966-09-17
70,2689,271,1983-06-17
55,13256,240,2003-05-27
40,1011,209,1984-03-07
52,5388,317,2000-10-28
17,15808,61,1963-05-12
71,2138,94,2005-03-23
9,10457,235,1986-09-27
32,8433,85,1997-03-18
33,2373,291,1989-09-14
17,12575,309,2014-10-24
57,1007,155,2006-11-01
6,2430,368,1989-10-29
75,2838,182,1985-04-02
71,15968,323,1967-12-27
43,1513,41,1969-09-13
47,10045,127,2000-07-29
60,11300,219,1986-03-10
56,7597,118,1995-07-19
60,3498,361,1988-10-11
53,8832,286,1987-08-20
19,5037,99,2014-08-10
15,9261,7,1979-01-01
49,9689,143,1988-12-22
14,1657,141,2016-04-21
70,5476,307,2019-01-25
30,5609,10,1964-07-26
69,14735,20,2000-11-13
28,5736,105,2018-04-13
23,1327,317,1978-02-05
59,14498,201,1961-08-10
22,14497,156,1996-06-05
55,8355,112,1988-10-15
47,6999,252,1961-09-01
26,4,87,1980-06-21
71,16585,44,2006-08-21
8,14554,354,2003-01-07
34,12933,235,2005-10-13
65,11151,306,1995-04-25
72,3369,298,1962-01-04
80,661,290,2008-04-04
75,9711,91,1977-07-01
47,12145,117,1961-07-11
49,6097,67,1992-12-10
33,1395,227,1989-03-06
62,10172,57,1962-03-06
2,14480,2,2012-06-17
3,4204,188,1962-10-04
30,79,75,1996-08-16
41,6597,271,2004-09-26
61,10638,117,1985-09-12
22,974,206,2003-06-13
39,13508,217,1965-01-30
36,12987,323,1973-05-14
70,6741,76,1991-03-07
30,1607,365,2006-02-15
71,11732,130,1992-04-29
69,5442,286,1976-08-24
49,3437,156,1971-02-07
74,9630,140,2019-01-15
10,705,139,1961-12-19
35,5413,301,1996-07-04
9,13798,18,1994-03-18
52,14570,357,2010-05-05
68,4309,358,1985-07-29
37,1899,48,2012-10-08
77,532,35,1964-02-05
39,7890,206,1983-03-07
33,5183,237,1974-07-20
31,8509,173,2006-06-03
55,9766,22,1975-08-01
78,4346,345,2019-09-01
67,11859,214,1998-11-02
58,2479,122,1976-04-09
63,397,91,2011-09-10
7,14387,45,1976-12-24
38,1684,136,2008-05-01
11,596,80,1993-10-25
30,5725,289,2008-06-08
55,11698,222,2000-07-27
65,15852,370,1987-04-23
9,9052,145,1992-01-15
71,350,365,1973-12-16
63,12271,10,1964-02-20
65,375,281,1966-08-10
42,2506,106,2003-09-28
7,16186,1,2012-09-25
72,7786,136,2018-01-29
73,10622,129,2011-02-17
37,3084,232,1985-02-27
38,2741,165,1994-03-05
37,2172,93,2016-03-10
56,15158,151,2018-11-20
18,3652,83,1962-08-08
14,11020,229,1990-03-15
2,3585,112,2007-04-25
64,2311,120,1969-03-23
29,11355,110,1974-06-08
46,3241,201,2003-07-09
41,4716,12,2004-04-10
12,4003,62,1999-09-24
61,7505,6,1966-02-18
32,7465,160,1991-06-01
58,5015,40,2016-09-26
34,4521,87,1980-09-25
62,10074,24,1977-01-26
13,12963,10,1980-05-28
34,7746,163,1965-05-07
21,3855,10,1990-01-15
53,230,72,1969-10-08
8,11913,210,2001-11-27
49,4708,40,1984-02-04
62,6677,11,1968-12-23
37,874,149,2008-09-23
24,10852,2,1996-01-24
74,8064,98,1986-12-12
23,10034,321,2001-12-05
61,2808,265,1962-08-06
56,390,118,1971-11-03
40,1739,132,1999-11-27
32,4729,140,2003-07-07
58,10809,361,2019-08-24
7,11289,318,1966-12-10
29,2860,213,1973-06-10
20,11051,299,1989-09-13
58,3768,165,1988-09-15
74,4064,224,1971-12-20
78,1297,72,2004-11-30
18,12084,141,1967-11-12
7,6409,235,2016-06-25
13,14370,234,1986-06-28
7,12122,87,1988-08-03
48,8418,244,2019-04-14
20,13629,343,1977-10-25
29,9438,198,2019-06-27
59,12375,372,1986-03-21
49,5327,131,1990-07-31
44,13888,130,1962-09-19
71,15610,262,1968-05-18
33,12759,30,1985-11-10
8,15851,289,2006-02-17
4,8002,171,2002-08-20
51,8110,361,1975-04-19
48,10898,3,1997-08-26
5,8295,122,1980-01-21
20,13367,125,2005-02-24
31,12921,1,2013-09-02
17,106,7,1994-02-01
17,12147,260,1999-04-14
70,10009,58,2016-09-02
19,6066,60,2019-09-26
39,4320,199,1985-06-14
8,12069,60,2000-10-15
10,6979,170,1962-02-05
61,3299,218,1976-12-20
75,3343,104,2004-09-18
47,14616,41,1962-07-29
55,3825,305,2018-02-22
70,2096,85,1996-07-03
42,9328,371,2000-10-18
8,12151,341,1981-06-18
34,15877,60,2013-05-14
9,12960,136,1980-10-07
61,1890,107,2004-05-11
57,9570,13,1977-07-27
22,16569,30,1992-02-09
23,8124,357,1996-05-05
12,6829,301,1971-03-10
74,1452,233,1975-12-20
67,16169,108,1963-07-19
10,3936,270,2001-06-23
53,2778,334,1963-01-10
47,14702,148,1961-02-24
26,4288,281,2002-04-24
10,13395,330,1973-06-26
6,11806,367,1995-06-30
39,6036,163,1966-11-29
9,15943,16,1970-03-12
28,828,153,1983-01-03
45,3737,290,1968-08-07
67,6586,188,1989-01-25
66,13387,369,1995-07-22
49,11545,154,2016-12-03
24,11142,50,1992-05-01
56,8892,218,1994-06-20
80,4135,31,1966-01-03
75,13917,42,1968-08-11
18,5775,45,2011-11-11
23,3284,30,1961-07-09
70,13296,40,1999-03-07
15,12375,128,1993-02-25
51,8573,95,2002-10-06
10,7782,74,1970-05-25
65,12249,305,1985-03-16
16,16338,46,1974-06-29
29,9520,358,1992-04-29
48,11965,128,2013-08-01
35,4099,273,1993-01-25
27,8749,271,2007-10-27
10,15083,335,2004-06-18
48,14189,277,1996-04-15
31,16053,118,1982-12-13
14,14219,279,1978-06-14
14,7358,159,2019-09-02
24,13595,124,1982-09-18
9,5998,369,1969-01-07
48,6111,51,1973-11-23
34,11389,283,2005-09-29
38,1194,120,1995-02-10
9,12934,154,2013-10-28
24,16162,236,2001-11-20
64,4761,131,1972-04-28
74,8610,1,2017-03-02
15,8279,120,1977-06-17
7,8594,337,2002-02-22
78,9191,150,2012-02-28
46,14151,55,2009-12-23
77,13284,271,1970-06-05
39,10698,152,1994-10-03
45,5811,117,2014-07-12
77,10092,287,1983-03-08
53,3645,131,2010-01-31
76,15073,217,1967-07-15
46,7529,186,1961-10-26
41,9140,230,1992-08-19
3,8390,227,1965-11-15
76,16232,153,2015-07-05
74,16740,58,1993-05-25
9,6048,337,2018-09-29
31,12519,71,1994-10-03
55,13126,104,1984-07-26
2,11061,70,2003-01-15
56,5159,300,2017-05-15
76,9578,124,2009-08-05
29,404,26,1986-12-24
21,11651,339,1977-01-19
30,9933,218,2009-09-14
55,5461,157,2016-01-17
55,611,368,1997-02-22
67,4982,297,1997-06-17
44,9518,228,2012-02-07
44,1413,175,1991-06-17
66,13689,220,2004-09-24
28,9465,333,2015-04-23
9,6138,358,2006-04-11
69,2378,56,2004-05-05
43,11939,4,2006-10-10
33,15593,168,1970-02-10
80,2406,11,2007-06-19
80,894,145,1965-09-27
23,8923,205,1962-12-21
72,1493,24,1978-06-30
19,6162,333,2017-08-18
64,366,345,1977-08-17
54,13036,241,1998-02-27
30,11382,191,1969-08-16
29,9600,197,2003-11-13
36,3836,71,1980-09-04
70,8443,373,1963-06-05
7,13862,322,2008-12-08
15,16120,257,1995-11-10
16,14475,13,1999-07-25
48,13643,373,2003-07-23
44,14327,278,2010-01-14
64,3760,119,2014-09-04
39,6037,82,2002-02-17
76,16554,308,2011-05-03
5,7243,189,2013-12-17
4,5768,333,1999-06-26
17,4195,259,1998-08-09
21,4717,218,2001-03-04
75,15728,97,2006-09-04
43,9501,31,1998-09-02
48,15504,220,2014-02-10
9,14998,55,2018-04-26
4,1759,23,2018-06-02
27,15246,122,1996-01-30
