id,passengerID,flightID,luggageID,lost_object,description,color,accepted,amount
157,87558,14903,198706,1,Fully-configurable 24/7 customer loyalty,Blue,1,732
158,14181,19396,44664,0,,Yellow,0,658
159,24553,14908,143457,1,Switchable tertiary productivity,White,1,636
160,42939,8837,91914,1,Advanced client-server structure,White,1,876
161,38679,14817,12483,0,Synchronised next generation portal,Blue,1,915
162,2179,12504,207721,0,Networked demand-driven alliance,Black,1,239
163,14417,19792,53711,0,Monitored context-sensitive knowledge base,Blue,0,938
164,87717,14140,21549,1,Customer-focused fault-tolerant parallelism,White,1,95
165,62124,14,162078,0,Balanced encompassing internet solution,White,1,715
166,26753,98,28541,1,Vision-oriented fault-tolerant installation,Blue,0,774
167,56952,150,160419,1,Triple-buffered executive alliance,Red,1,380
168,14950,14708,223225,0,,Red,0,124
169,5437,10609,49479,1,Multi-lateral client-server hierarchy,Black,0,992
170,13522,19462,181071,0,,Pink,1,644
171,18024,19529,203449,1,Right-sized interactive data-warehouse,Green,0,511
172,81260,12897,166444,1,,Red,1,381
173,77314,4,93678,0,Expanded optimizing neural-net,Blue,0,977
174,66163,14872,48540,0,Optimized stable hub,White,0,401
175,45695,6702,155529,1,Upgradable asymmetric contingency,Red,1,231
176,9765,14883,56487,0,Compatible impactful contingency,White,0,164
177,1256,10015,214065,0,Devolved user-facing pricing structure,White,1,438
178,16448,19865,18680,1,Quality-focused radical productivity,Blue,0,75
179,6951,1702,44475,0,,Yellow,0,48
180,44096,8426,1950,1,Business-focused optimizing solution,Red,1,345
181,92720,14716,1965,1,Multi-layered modular pricing structure,Red,0,638
182,40436,8851,144915,1,,Black,0,49
183,46769,8236,149473,1,Proactive background task-force,Green,1,770
184,15272,19900,38754,1,Face to face impactful hierarchy,Pink,1,456
185,28208,14239,213457,0,Upgradable static system engine,Green,1,835
186,26748,142,134384,1,Devolved fresh-thinking conglomeration,Yellow,0,547
187,42793,10006,141167,0,Universal 4th generation moratorium,Blue,1,834
188,15239,14239,139312,1,Digitized web-enabled strategy,Yellow,1,34
189,2254,17225,1333,0,Object-based zero administration contingency,Red,0,681
190,67680,19242,10478,0,Innovative dedicated help-desk,Red,1,36
191,13559,19440,72175,1,Multi-channelled multi-state algorithm,Blue,0,477
192,60417,14484,164664,1,Persistent discrete collaboration,Pink,1,677
193,43292,8097,228254,0,Realigned 5th generation firmware,Blue,1,429
194,15515,33,204440,1,Multi-layered asymmetric matrices,Green,1,672
195,16498,14880,41897,1,Ameliorated asynchronous standardization,Blue,1,129
196,65321,19975,229519,0,Centralized directional solution,Blue,1,942
197,67002,12450,17226,0,De-engineered background process improvement,Red,1,767
198,49361,8426,171874,0,Focused bandwidth-monitored time-frame,Pink,0,73
199,96161,11731,34516,1,Exclusive local capacity,Yellow,1,658
200,46702,8369,27202,1,De-engineered optimal intranet,Yellow,1,699
201,45688,8986,159840,1,Vision-oriented content-based policy,White,1,784
202,39489,16,220978,0,Future-proofed national task-force,Black,1,144
203,10643,19949,10264,1,Advanced optimizing infrastructure,Black,1,821
204,82376,14887,226081,1,,White,1,238
205,41874,8449,231428,1,Organized 24/7 matrices,Blue,1,888
206,73222,69,46319,1,Total tangible hardware,White,0,422
207,21934,17238,133430,0,Switchable zero defect intranet,Yellow,1,944
208,3253,17231,84425,1,Cloned interactive adapter,Black,0,822
209,91467,12356,217567,1,Reverse-engineered value-added focus group,Green,1,698
210,46823,8087,41831,1,Networked empowering paradigm,Black,0,472
211,38809,4583,168970,0,Programmable fresh-thinking synergy,Blue,0,208
212,55827,21,177482,0,Compatible asynchronous service-desk,Green,1,313
213,82262,12488,170590,0,Cloned non-volatile contingency,Red,1,251
214,43932,8789,73037,0,Distributed tertiary benchmark,Red,1,281
215,81578,3928,52551,1,Switchable directional application,Pink,1,684
216,65671,14155,186107,0,Quality-focused well-modulated firmware,White,1,695
217,81387,12840,10777,1,Reactive optimizing initiative,Green,0,675
218,56107,169,2349,1,Expanded client-driven instruction set,Green,1,916
219,6134,14821,90763,1,Universal tangible groupware,Green,0,963
220,28177,14025,137025,1,Seamless actuating process improvement,Blue,0,368
221,27415,12510,197382,0,Cross-platform context-sensitive approach,Blue,1,344
222,68374,37,104357,1,Exclusive empowering software,White,0,392
223,87457,10006,101375,0,,Yellow,0,886
224,36233,14512,231350,0,Adaptive 3rd generation firmware,White,0,288
225,21736,14300,103208,0,Multi-layered maximized intranet,Pink,1,926
226,28370,14943,155709,1,Pre-emptive client-driven implementation,White,1,650
227,80198,8249,52916,1,Triple-buffered transitional throughput,Green,0,591
228,45466,7090,6615,1,Digitized 3rd generation artificial intelligence,White,1,572
229,15301,19700,22232,0,Right-sized dynamic extranet,Yellow,0,781
230,37131,12289,59478,0,,Red,1,539
231,14068,19023,94163,1,Polarised solution-oriented superstructure,Pink,0,67
232,41169,8748,137752,1,,Pink,0,217
233,41691,12447,25207,1,,Green,0,830
234,18527,19898,198406,0,Public-key exuding workforce,Red,1,33
235,23770,10014,156262,1,Total uniform parallelism,Green,0,658
236,91762,12036,138046,1,Public-key value-added collaboration,Red,1,432
237,34745,6826,206786,0,Optional uniform benchmark,Red,1,126
238,71278,81,57620,0,Stand-alone system-worthy matrix,Yellow,1,563
239,15958,19855,136718,1,Decentralized local access,Blue,1,363
240,3294,14644,219611,0,Multi-lateral scalable secured line,White,0,762
241,41840,8573,57918,0,,Green,1,941
242,17193,19560,77362,0,Total intermediate complexity,Red,1,969
243,82236,7489,4891,1,Self-enabling human-resource architecture,White,1,729
244,90643,12578,225122,0,,Yellow,0,465
245,45248,12208,216654,0,Multi-layered fault-tolerant open architecture,Red,1,785
246,27913,17239,132556,0,Adaptive mobile capability,White,1,899
247,69270,13672,78624,0,Visionary systemic paradigm,Blue,0,396
248,38092,14978,25236,1,Extended multi-tasking intranet,Blue,0,618
249,44903,35,174109,0,Enterprise-wide context-sensitive concept,Green,0,762
250,68593,14096,69312,0,Re-contextualized global flexibility,White,0,910
251,60557,14874,12860,1,Digitized 24/7 system engine,Pink,0,825
252,85745,4,213891,0,Future-proofed demand-driven interface,Yellow,0,334
253,35127,14874,191643,0,Switchable disintermediate core,Pink,1,905
254,82568,171,49392,1,Face to face 24 hour standardization,Blue,0,454
255,40647,8701,216993,1,,Blue,1,993
256,11231,92,176553,1,Multi-tiered methodical Graphical User Interface,Yellow,0,277
257,13470,19534,74523,1,Configurable tangible capacity,Red,0,189
258,4269,16743,16956,0,,Pink,1,667
259,51837,10281,235044,1,Balanced transitional orchestration,White,0,101
260,14730,19873,71350,1,,Blue,1,68
261,44318,8849,32896,0,,Green,1,338
262,48057,8421,73237,1,Reactive actuating access,Blue,1,288
263,18271,10016,36168,0,,White,0,943
264,10639,19120,94858,1,Streamlined eco-centric adapter,Blue,1,760
265,81699,1631,25971,0,Seamless client-server forecast,Blue,1,510
266,57765,3334,69577,0,Self-enabling transitional customer loyalty,Green,0,534
267,24004,17240,225115,1,Fundamental upward-trending extranet,Black,0,24
268,43634,8068,205583,0,User-friendly holistic archive,White,1,309
269,96194,14986,55396,0,Stand-alone upward-trending info-mediaries,Red,0,155
270,77684,15154,86192,0,Enhanced coherent alliance,Yellow,0,347
271,34819,106,218394,1,Innovative exuding installation,Red,0,591
272,28839,19805,85572,0,,White,0,535
273,82138,17220,18063,0,Switchable executive task-force,Pink,0,949
274,20321,14861,4564,1,Face to face encompassing structure,Red,1,747
275,10150,19440,208793,0,Enterprise-wide mobile moratorium,Yellow,0,222
276,68829,14163,19501,1,,Red,1,460
277,31530,3928,2922,1,Synergized multi-state standardization,Green,0,103
278,49729,14708,90469,0,Extended interactive function,White,0,967
279,87890,17234,230739,1,Seamless systematic website,Red,0,921
280,84103,175,197132,1,Cloned asynchronous open architecture,Blue,1,594
281,5675,7080,214316,0,Extended explicit archive,Blue,0,921
282,61072,198,99429,0,Digitized object-oriented synergy,White,1,642
283,21135,17238,185487,1,Synergistic systemic definition,Red,1,228
284,19288,19856,170237,1,Implemented hybrid paradigm,Yellow,0,742
285,86883,13327,37004,0,Focused modular Graphical User Interface,Pink,1,928
286,77111,12873,8944,0,,Black,0,219
287,68366,14734,31351,1,Monitored mission-critical conglomeration,Yellow,0,466
288,67341,14007,191306,0,Object-based intangible synergy,White,0,738
289,65929,14169,195359,1,Networked zero tolerance open system,White,1,280
290,82332,14979,156315,0,,Yellow,1,174
291,96734,2621,176569,1,Innovative impactful system engine,Green,1,161
292,69832,2039,131808,0,Reverse-engineered disintermediate emulation,Yellow,1,74
293,77401,12278,146041,1,,Green,0,426
294,15991,11280,51161,1,,Black,0,709
295,70788,94,132080,0,De-engineered bi-directional utilisation,Yellow,0,369
296,60471,12610,168058,1,,Yellow,1,256
297,52597,23,77223,0,,Green,1,494
298,71856,14877,219402,1,,Black,0,247
299,49285,14918,195419,1,,Red,1,831
300,77528,14863,132782,0,,Green,0,175
301,34375,172,9986,1,,Yellow,0,364
302,45357,8286,98852,1,Re-contextualized tangible internet solution,Blue,0,249
303,18287,19992,182043,0,Adaptive cohesive help-desk,White,0,288
304,76855,17230,160648,1,Synergistic asymmetric capability,Pink,0,284
305,6015,14527,84224,0,Synergistic user-facing model,Yellow,1,980
306,2720,19794,138733,1,Monitored tangible encryption,Pink,1,240
307,33308,14836,151920,0,Ameliorated mobile info-mediaries,Black,1,195
308,45165,2149,31142,0,,Blue,0,74
309,89326,12625,92835,0,Synergized dynamic utilisation,Yellow,1,941
310,44391,8027,18013,1,,Yellow,1,974
311,46338,8450,184419,1,,Black,0,353
312,23940,78,223398,0,Pre-emptive systemic neural-net,Pink,0,954
313,91008,14808,196062,1,Profit-focused tertiary application,White,0,592
314,34107,13832,224367,0,Decentralized maximized product,White,1,35
315,31253,14881,45417,1,Centralized foreground function,Green,1,20
316,12616,14830,49934,0,Implemented 24 hour hub,Green,0,584
317,96810,13,78375,0,Multi-channelled local solution,Pink,0,610
318,46847,8365,182463,1,,White,0,314
319,91800,7254,40431,0,,Green,1,533
320,15311,19797,95731,1,Face to face mission-critical encryption,Green,0,461
321,17190,19843,166014,0,Centralized foreground secured line,Pink,0,298
322,17507,19256,182325,1,Automated tertiary focus group,Red,1,428
323,47742,141,7569,1,,Pink,0,494
324,83243,10017,24373,1,Implemented bottom-line analyzer,Blue,1,160
325,18638,19413,3163,0,Switchable scalable superstructure,Pink,0,484
326,89695,9140,160001,1,Realigned bandwidth-monitored matrix,Blue,0,335
327,72926,10009,23368,0,Organic bandwidth-monitored instruction set,Green,0,370
328,47601,8541,59068,0,,White,1,314
329,41887,14542,149777,1,,Green,0,318
330,93720,14941,226962,1,Mandatory multi-tasking interface,White,0,967
331,16161,19469,97952,1,Profound full-range toolset,Blue,1,932
332,39749,12851,216391,1,Reduced even-keeled intranet,Pink,1,142
333,1139,12497,29686,0,Ergonomic methodical methodology,Pink,1,998
334,2476,100,67669,1,Reactive fault-tolerant data-warehouse,Red,1,467
335,75620,14460,22733,0,,White,0,555
336,24613,14117,195773,1,Down-sized mobile instruction set,Pink,1,44
337,58525,16189,64477,0,,Red,0,772
338,83469,6231,234819,1,Assimilated zero tolerance orchestration,Green,0,695
339,42678,8836,1770,1,,Black,1,856
340,6997,8510,5299,0,Fully-configurable intermediate installation,Black,0,246
341,46651,8708,161342,0,Configurable responsive emulation,Green,0,212
342,12219,19850,230721,1,,Blue,0,53
343,36676,3928,22767,0,Versatile holistic forecast,Black,0,761
344,23741,4,50236,1,Triple-buffered stable frame,Pink,0,546
345,68790,14222,153018,1,Integrated explicit knowledge user,Red,1,506
346,1335,12351,222129,0,Down-sized 4th generation instruction set,Green,1,543
347,81646,74,203334,1,Grass-roots responsive encoding,Yellow,0,919
348,869,14,231480,1,Virtual web-enabled artificial intelligence,White,0,477
349,63131,12133,211868,1,User-friendly 6th generation protocol,Blue,0,29
350,8096,20550,189744,0,Profound tangible firmware,Blue,0,108
351,89784,14824,147854,1,,Red,1,623
352,35686,161,187259,1,Public-key transitional time-frame,Red,1,656
353,94949,10009,64479,0,Inverse regional intranet,Red,1,540
354,42271,8317,219364,1,Up-sized composite concept,Green,0,201
355,86063,12652,96579,0,,Green,1,427
356,14956,19305,209895,1,,Green,1,985
357,94523,12391,39506,0,Visionary explicit policy,White,0,413
358,76996,17220,50678,0,Compatible disintermediate framework,Green,0,816
359,31667,7069,93343,0,Enhanced eco-centric functionalities,Black,0,683
360,78969,12323,192522,0,Balanced hybrid projection,White,0,913
361,95428,15191,23033,1,Right-sized optimizing matrices,Blue,0,147
362,25821,14390,227248,0,Fundamental didactic utilisation,Blue,0,665
363,1095,14743,25934,0,Upgradable 24 hour extranet,White,1,356
364,52203,24,162203,0,Operative systematic structure,Yellow,0,639
365,17399,18891,49572,1,,Black,1,93
366,16045,19744,146778,0,Versatile holistic instruction set,Yellow,1,767
367,40847,100,168563,1,,Blue,1,399
368,17032,19554,52848,0,Inverse explicit application,Red,0,190
369,12430,19961,96186,1,Inverse high-level core,Pink,0,355
370,52095,14324,81651,0,Compatible tangible projection,White,0,346
371,46767,69,235398,0,Face to face well-modulated project,Green,0,84
372,12732,12714,200721,1,Organic bottom-line interface,White,0,822
373,29186,9893,102990,1,Ameliorated client-driven open architecture,Black,0,834
374,34190,17870,12049,1,,Yellow,1,818
375,47044,8561,216260,0,Configurable bifurcated initiative,White,0,154
376,45974,8381,40450,1,,Blue,1,318
377,75611,10031,158391,0,Decentralized optimal structure,Red,1,954
378,11691,19505,194436,0,Universal content-based product,Blue,0,891
379,56453,14914,221951,0,Multi-layered tertiary collaboration,Yellow,0,214
380,10756,19901,59837,0,Profit-focused zero tolerance circuit,Black,1,914
381,4139,4670,98546,1,Exclusive impactful attitude,Red,1,260
382,39838,20,26369,1,Configurable encompassing policy,Blue,0,237
383,19471,19445,229951,1,Switchable demand-driven focus group,Blue,0,522
384,61265,106,154883,0,Total client-driven task-force,Black,0,626
385,19023,19762,20329,1,User-friendly coherent strategy,White,0,866
386,37440,14043,222140,1,Switchable secondary interface,Black,0,678
387,23720,14884,160521,0,Networked user-facing leverage,Yellow,0,955
388,48446,14047,164141,0,Up-sized dynamic structure,Red,0,544
389,16355,28,142250,0,Universal 6th generation array,White,0,772
390,77321,10016,91734,0,Realigned high-level forecast,Blue,0,368
391,96111,148,157379,0,Persevering asymmetric info-mediaries,Red,1,266
392,20148,26,52280,1,,Black,0,727
393,8673,15412,98849,0,Sharable coherent open architecture,Green,1,542
394,60069,14816,200189,0,Multi-channelled homogeneous strategy,White,0,28
395,16257,19128,31091,1,Business-focused grid-enabled orchestration,Black,1,491
396,44168,170,73178,1,Seamless optimizing solution,Yellow,1,891
397,80968,14026,99191,0,Vision-oriented encompassing adapter,Pink,1,991
398,11739,19724,11783,0,,Pink,1,397
399,57553,18637,53337,0,Synergistic encompassing paradigm,Blue,0,415
400,86788,14888,181796,0,,Blue,0,968
401,76753,12025,137983,0,Vision-oriented heuristic challenge,Red,0,673
402,44319,14135,150715,1,Persistent directional moderator,Pink,1,209
403,38106,95,167164,1,Implemented disintermediate collaboration,Green,0,44
404,2028,14885,170189,1,Automated analyzing orchestration,Yellow,1,750
405,63149,10005,48080,0,Networked well-modulated array,White,0,443
406,42935,78,71558,1,Triple-buffered real-time workforce,Yellow,0,559
407,47119,19194,4964,0,,Black,0,349
408,29815,14556,3491,1,,White,0,214
409,38184,14873,46029,0,Managed 24 hour orchestration,Blue,0,476
410,60586,11348,131986,1,Customer-focused holistic emulation,White,1,861
411,31279,14423,35730,1,,Yellow,1,435
412,96198,14771,13385,1,De-engineered 4th generation conglomeration,Black,0,321
413,71179,1631,227917,0,Proactive bandwidth-monitored standardization,Red,0,746
414,60172,1082,21073,1,Programmable value-added software,Red,1,799
415,27213,11147,39043,1,Compatible asynchronous flexibility,Blue,0,580
416,40986,887,215085,1,Extended even-keeled hardware,White,0,753
417,17681,19888,25577,0,Public-key didactic emulation,Blue,1,816
418,15842,19693,195755,0,Open-source cohesive contingency,Red,0,519
419,30539,7888,197242,0,Seamless human-resource collaboration,Pink,1,321
420,44060,8828,6787,1,Operative grid-enabled collaboration,Black,0,951
421,10865,14294,205126,1,Face to face directional budgetary management,Yellow,1,379
422,20353,8378,72142,0,Decentralized foreground forecast,Green,1,782
423,29543,55,206331,1,Function-based multi-tasking orchestration,Yellow,1,155
424,43475,8894,53804,0,Realigned coherent definition,Green,1,833
425,56587,11370,190252,1,Persevering scalable software,Red,0,998
426,42836,8237,164690,0,Triple-buffered stable infrastructure,White,1,249
427,64292,14376,199143,1,Multi-channelled bifurcated pricing structure,Green,0,956
428,78316,19751,209500,1,,Pink,0,509
429,15057,19986,85279,1,Innovative client-driven frame,Yellow,0,905
430,45163,5064,55308,1,,Black,0,147
431,57493,14869,2851,0,Integrated scalable info-mediaries,Red,1,213
432,16727,19704,228127,1,Re-engineered mobile framework,Pink,0,295
433,87817,10001,35375,1,Open-source needs-based functionalities,Yellow,1,195
434,81947,156,223666,0,Business-focused regional capacity,Pink,0,908
435,68903,12687,211888,0,Seamless 4th generation frame,Yellow,1,988
436,21451,10020,63383,0,,Black,1,865
437,58546,17224,20646,1,Multi-tiered demand-driven time-frame,Yellow,1,656
438,4474,12812,174201,1,Centralized 3rd generation superstructure,Black,0,164
439,18494,19807,97064,0,Organized non-volatile software,Black,1,938
440,10971,19374,15156,1,,Pink,1,396
441,1663,12676,223293,1,Up-sized maximized open architecture,Black,0,927
442,40764,14878,195432,1,,Yellow,1,131
443,14888,19778,216011,0,,Green,0,256
444,21285,6335,84034,1,Right-sized non-volatile support,Yellow,1,793
445,1675,9500,58855,0,,White,0,246
446,15066,12654,87014,0,Horizontal tangible website,Pink,1,968
447,26753,98,159611,0,Advanced local core,Blue,1,517
448,14297,14732,57368,1,Cloned user-facing emulation,Red,0,490
449,92614,14883,80163,1,Advanced 24 hour ability,White,0,800
450,23683,49,215431,1,Advanced foreground adapter,Yellow,1,350
451,49893,8140,8281,1,Ameliorated fault-tolerant protocol,Yellow,1,614
452,50977,19561,76625,0,Enterprise-wide 5th generation process improvement,White,0,333
453,48893,14876,20815,1,Triple-buffered dedicated info-mediaries,Yellow,1,217
454,26262,14458,188935,1,Synergistic 5th generation pricing structure,White,0,128
455,95940,8249,1068,0,Re-contextualized object-oriented system engine,Green,0,545
456,11409,19047,167087,1,Programmable 3rd generation pricing structure,White,1,99
